desired path: x position,desired path: y position,robot position: x position,robot position: y position,Desired Position: x (m),Desired Position: y (m),Actual Position: x (m),Actual Position: y (m),Desired X-Pos vs. Time: time(s),Desired X-Pos vs. Time: x (m),Actual X-Pos vs. Time: time(s),Actual X-Pos vs. Time: x (m),Desired Y-Pos vs. Time: time(s),Desired Y-Pos vs. Time: y (m),Actual Y-Pos vs. Time: time(s),Actual Y-Pos vs. Time: y (m),Theta vs. Time: time(s),Theta vs. Time: theta (rads),Robot Velocity: time (s),Robot Velocity: velocity (m/s),Position: x (m)1,Position: y (m)1,Position: x (m)2,Position: y (m)2,X-Pos vs. Time: time(s)1,X-Pos vs. Time: x (m)1,X-Pos vs. Time: time(s)2,X-Pos vs. Time: x (m)2,Y-Pos vs. Time: time(s)1,Y-Pos vs. Time: y (m)1,Y-Pos vs. Time: time(s)2,Y-Pos vs. Time: y (m)2
0.1,0.08,0.11925609756097562,0.04994817073170732,0.1,0.08,0.11925609756097562,0.04994817073170732,0.0,0.1,0.1315910816192627,0.11925609756097562,0.0,0.08,0.1315910816192627,0.04994817073170732,0.1315910816192627,1.723445655190162,0.4259169101715088,0.18735137774878186,0.1,0.08,0.11925609756097562,0.04994817073170732,0.0,0.1,0.1315910816192627,0.11925609756097562,0.0,0.08,0.1315910816192627,0.04994817073170732
0.5,0.08,0.0654359756097561,0.06195121951219512,0.5,0.08,0.0654359756097561,0.06195121951219512,3.0,0.5,0.4259169101715088,0.0654359756097561,3.0,0.08,0.4259169101715088,0.06195121951219512,0.4259169101715088,-0.2214720219241737,0.619556188583374,0.2065855881269683,0.5,0.08,0.0654359756097561,0.06195121951219512,3.0,0.5,0.4259169101715088,0.0654359756097561,3.0,0.08,0.4259169101715088,0.06195121951219512
0.5,0.25,0.10144512195121952,0.04452743902439025,0.5,0.25,0.10144512195121952,0.04452743902439025,5.0,0.5,0.619556188583374,0.10144512195121952,5.0,0.25,0.619556188583374,0.04452743902439025,0.619556188583374,-0.013157135472755753,0.785783052444458,0.05667473776530819,0.5,0.25,0.10144512195121952,0.04452743902439025,5.0,0.5,0.619556188583374,0.10144512195121952,5.0,0.25,0.619556188583374,0.04452743902439025
0.1,0.25,0.1107378048780488,0.04297865853658536,0.1,0.25,0.1107378048780488,0.04297865853658536,8.0,0.1,0.785783052444458,0.1107378048780488,8.0,0.25,0.785783052444458,0.04297865853658536,0.785783052444458,-0.1178721031972163,0.9504802227020264,0.13734469332778024,0.1,0.25,0.1107378048780488,0.04297865853658536,8.0,0.1,0.785783052444458,0.1107378048780488,8.0,0.25,0.785783052444458,0.04297865853658536
0.1,0.08,0.13319512195121952,0.04026829268292683,0.1,0.08,0.13319512195121952,0.04026829268292683,10.0,0.1,0.9504802227020264,0.13319512195121952,10.0,0.08,0.9504802227020264,0.04026829268292683,0.9504802227020264,-0.05258306161094177,1.082779884338379,0.16692184464321666,0.1,0.08,0.13319512195121952,0.04026829268292683,10.0,0.1,0.9504802227020264,0.13319512195121952,10.0,0.08,0.9504802227020264,0.04026829268292683
,,0.155265243902439,0.04104268292682927,,,0.155265243902439,0.04104268292682927,,,1.082779884338379,0.155265243902439,,,1.082779884338379,0.04104268292682927,1.082779884338379,0.02596818721155641,1.2130932807922363,0.19458924637643407,,,0.155265243902439,0.04104268292682927,,,1.082779884338379,0.155265243902439,,,1.082779884338379,0.04104268292682927
,,0.18043292682926831,0.04414024390243902,,,0.18043292682926831,0.04414024390243902,,,1.2130932807922363,0.18043292682926831,,,1.2130932807922363,0.04414024390243902,1.2130932807922363,0.1308273960740569,1.3449978828430176,0.17855449643920726,,,0.18043292682926831,0.04414024390243902,,,1.2130932807922363,0.18043292682926831,,,1.2130932807922363,0.04414024390243902
,,0.20366463414634148,0.04801219512195122,,,0.20366463414634148,0.04801219512195122,,,1.3449978828430176,0.20366463414634148,,,1.3449978828430176,0.04801219512195122,1.3449978828430176,0.2129383495793971,1.4769580364227295,0.17088934560510396,,,0.20366463414634148,0.04801219512195122,,,1.3449978828430176,0.20366463414634148,,,1.3449978828430176,0.04801219512195122
,,0.22534756097560976,0.05420731707317073,,,0.22534756097560976,0.05420731707317073,,,1.4769580364227295,0.22534756097560976,,,1.4769580364227295,0.05420731707317073,1.4769580364227295,0.2889754099925665,1.608769178390503,0.15701201055043962,,,0.22534756097560976,0.05420731707317073,,,1.4769580364227295,0.22534756097560976,,,1.4769580364227295,0.05420731707317073
,,0.24509451219512196,0.06040243902439025,,,0.24509451219512196,0.06040243902439025,,,1.608769178390503,0.24509451219512196,,,1.608769178390503,0.06040243902439025,1.608769178390503,0.3176353512895308,1.7415781021118164,0.14018338249998402,,,0.24509451219512196,0.06040243902439025,,,1.608769178390503,0.24509451219512196,,,1.608769178390503,0.06040243902439025
