Theta vs. Time_ind,Theta vs. Time_dep,Robot Velocity_ind,Robot Velocity_dep
0.14317989349365234,-0.4226549607555423,0.24110102653503418,0.24278626963612582
0.24110102653503418,2.6116184558779167,0.30606508255004883,0.016857832664314013
0.30606508255004883,2.613077352877519,0.3712749481201172,0.029688385228702468
0.3712749481201172,2.6091507849776474,0.4373760223388672,0.017572866698195872
0.4373760223388672,2.6095587009984835,0.505141019821167,0.028568961583179682
0.505141019821167,2.605672949877816,0.5693280696868896,0.008530951241622935
0.5693280696868896,2.6063796317859445,0.6356351375579834,0.01167884915991032
0.6356351375579834,2.6029050532155966,0.7022421360015869,0.018382730236811508
0.7022421360015869,2.5987601969543377,0.7661070823669434,0.01355664824779185
0.7661070823669434,2.601173153319209,0.8337080478668213,0.00572765668490201
0.8337080478668213,2.5994448453269574,0.8993971347808838,0.017683079799438915
0.8993971347808838,2.5977201283691524,0.9656529426574707,0.024095191601956504
0.9656529426574707,2.6001332923421936,1.0315630435943604,0.005874594583339835
1.0315630435943604,2.6018671157338322,1.0983998775482178,0.00579313978604289
1.0983998775482178,2.6001332923421936,1.1639950275421143,0.011805602151599976
1.1639950275421143,2.603604548319581,1.2297730445861816,0.01177278183049538
1.2297730445861816,2.6070902440252364,1.2969961166381836,0.005759854617350458
1.2969961166381836,2.6053455908584926,1.3630571365356445,0.01758352153292019
1.3630571365356445,2.6105903845145666,1.4286701679229736,0.005901192396760115
1.4286701679229736,2.6116184558779167,1.4946632385253906,0.005867208760203151
1.4946632385253906,2.6133719207876487,1.5593361854553223,0.0
1.5593361854553223,2.6133719207876487,1.626626968383789,0.005754058804202237
1.626626968383789,2.615128981336587,1.6933019161224365,0.016425257501348805
1.6933019161224365,2.6166105233879855,1.7592530250549316,0.01174188359281531
1.7592530250549316,2.613077352877519,1.8248651027679443,0.0
1.8248651027679443,2.613077352877519,1.890760898590088,0.011751739761858778
1.890760898590088,2.6095587009984835,1.9569461345672607,0.013081385908147863
1.9569461345672607,2.611316212245623,2.0231311321258545,0.0241209706794271
2.0231311321258545,2.607410078684409,2.0892930030822754,0.029261198055164767
2.0892930030822754,2.5987601969543377,2.1547350883483887,0.0
2.1547350883483887,2.5987601969543377,2.2202649116516113,0.005908685579077276
2.2202649116516113,2.5970409454337564,2.287464141845703,0.008148554546927582
2.287464141845703,2.5977201283691524,2.353631019592285,0.017555390331435876
2.353631019592285,2.6029050532155966,2.419466972351074,0.011762421768842088
2.419466972351074,2.5959990014942607,2.484753131866455,0.0059307382272958805
2.484753131866455,2.5977201283691524,2.5508499145507812,0.029870069347042307
2.5508499145507812,2.6018671157338322,2.616342067718506,0.0
2.616342067718506,2.6018671157338322,2.7174971103668213,0.00855908504976245
2.7174971103668213,2.5994448453269574,2.782259225845337,0.02391491501414398
2.782259225845337,2.6063796317859445,2.8469529151916504,0.005985052419541289
2.8469529151916504,2.6081223117835157,2.91343092918396,0.0058244086833885555
2.91343092918396,2.609868586330988,2.9801509380340576,0.0
2.9801509380340576,2.609868586330988,3.045957088470459,0.005883874370153898
3.045957088470459,2.6116184558779167,3.1120822429656982,0.0
3.1120822429656982,2.6116184558779167,3.1778202056884766,0.02634078019394547
3.1778202056884766,2.6166105233879855,3.2435691356658936,0.026336386418352963
3.2435691356658936,2.6116184558779167,3.3096261024475098,0.013106787299234684
3.3096261024475098,2.6091507849776474,3.3755271434783936,0.0
3.3755271434783936,2.6091507849776474,3.4417901039123535,0.02106835940715383
3.4417901039123535,2.610282922333795,3.507499933242798,0.013176028945156527
3.507499933242798,2.611316212245623,3.5741281509399414,0.03388528476446277
3.5741281509399414,2.605672949877816,3.6395480632781982,0.018716296621456494
3.6395480632781982,2.6008255690440167,3.704202890396118,0.02994324934509817
3.704202890396118,2.5970409454337564,3.771872043609619,0.023591936794182707
3.771872043609619,2.6029050532155966,3.837214946746826,0.005925587988311044
3.837214946746826,2.601173153319209,3.908320903778076,0.017219633001133793
3.908320903778076,2.5970409454337564,3.968430995941162,0.02036959918395265
3.968430995941162,2.601173153319209,4.035783052444458,0.005748824045666051
4.035783052444458,2.6029050532155966,4.102362155914307,0.005815565271565322
4.102362155914307,2.601173153319209,4.167293071746826,0.005963185902844046
4.167293071746826,2.6029050532155966,4.23509407043457,0.011421516775422073
4.23509407043457,2.5994448453269574,4.300603151321411,0.017731669413285994
4.300603151321411,2.604640545803236,4.364696979522705,0.00604106717943537
4.364696979522705,2.6063796317859445,4.431997060775757,0.005753263811009863
4.431997060775757,2.6081223117835157,4.497364044189453,0.011846810170227469
4.497364044189453,2.6116184558779167,4.56373405456543,0.005833886717175861
4.56373405456543,2.609868586330988,4.629878044128418,0.005853821707904564
4.629878044128418,2.6116184558779167,4.696635007858276,0.011600141777510259
4.696635007858276,2.6081223117835157,4.762222051620483,0.030102217894670342
4.762222051620483,2.6158676868902537,4.863144874572754,0.0054256963561854195
4.863144874572754,2.6166105233879855,4.927142143249512,0.012100363967309102
4.927142143249512,2.613077352877519,4.99294114112854,0.011769027931491583
4.99294114112854,2.613077352877519,5.058876037597656,0.055710339281992656
5.058876037597656,2.6004830223038606,5.124063968658447,0.0059396749620743
5.124063968658447,2.5987601969543377,5.190904140472412,0.0388596224280661
5.190904140472412,2.606054565035265,5.25639009475708,0.039663220427801835
5.25639009475708,2.5987601969543377,5.322456121444702,0.005860729657347131
5.322456121444702,2.5970409454337564,5.38841700553894,0.0
5.38841700553894,2.5970409454337564,5.454512119293213,0.008284675850379394
5.454512119293213,2.5977201283691524,5.519690036773682,0.011881175002783633
