Desired Position: x (m),Desired Position: y (m),Actual Position: x (m),Actual Position: y (m),Desired X-Pos vs. Time: time(s),Desired X-Pos vs. Time: x (m),Actual X-Pos vs. Time: time(s),Actual X-Pos vs. Time: x (m),Desired Y-Pos vs. Time: time(s),Desired Y-Pos vs. Time: y (m),Actual Y-Pos vs. Time: time(s),Actual Y-Pos vs. Time: y (m),Theta vs. Time: time(s),Theta vs. Time: theta (rads),Robot Velocity: time (s),Robot Velocity: velocity (m/s),Position: x (m)1,Position: y (m)1,Position: x (m)2,Position: y (m)2,X-Pos vs. Time: time(s)1,X-Pos vs. Time: x (m)1,X-Pos vs. Time: time(s)2,X-Pos vs. Time: x (m)2,Y-Pos vs. Time: time(s)1,Y-Pos vs. Time: y (m)1,Y-Pos vs. Time: time(s)2,Y-Pos vs. Time: y (m)2
0.05,0.125,0.0,0.0,1.0,0.05,0.15361809730529785,0.0,1.0,0.125,0.15361809730529785,0.0,0.15361809730529785,0.0,0.23807907104492188,0.0,0.05,0.125,0.0,0.0,1.0,0.05,0.15361809730529785,0.0,1.0,0.125,0.15361809730529785,0.0
0.060000000000000005,0.125,0.0,0.0,1.049800346606159,0.060000000000000005,0.23807907104492188,0.0,1.049800346606159,0.125,0.23807907104492188,0.0,0.23807907104492188,0.0,0.3047001361846924,0.0,0.060000000000000005,0.125,0.0,0.0,1.049800346606159,0.060000000000000005,0.23807907104492188,0.0,1.049800346606159,0.125,0.23807907104492188,0.0
0.07,0.125,0.0,0.0,1.1020807677344115,0.07,0.3047001361846924,0.0,1.1020807677344115,0.125,0.3047001361846924,0.0,0.3047001361846924,0.0,0.4031820297241211,0.0,0.07,0.125,0.0,0.0,1.1020807677344115,0.07,0.3047001361846924,0.0,1.1020807677344115,0.125,0.3047001361846924,0.0
0.08,0.125,0.0,0.0,1.156964771955567,0.08,0.4031820297241211,0.0,1.156964771955567,0.125,0.4031820297241211,0.0,0.4031820297241211,0.0,0.4683220386505127,0.0,0.08,0.125,0.0,0.0,1.156964771955567,0.08,0.4031820297241211,0.0,1.156964771955567,0.125,0.4031820297241211,0.0
0.09,0.125,0.0,0.0,1.2145820186100698,0.09,0.4683220386505127,0.0,1.2145820186100698,0.125,0.4683220386505127,0.0,0.4683220386505127,0.0,0.5346901416778564,0.0,0.09,0.125,0.0,0.0,1.2145820186100698,0.09,0.4683220386505127,0.0,1.2145820186100698,0.125,0.4683220386505127,0.0
0.1,0.125,0.0,0.0,1.2750686241184594,0.1,0.5346901416778564,0.0,1.2750686241184594,0.125,0.5346901416778564,0.0,0.5346901416778564,0.0,0.5990400314331055,2.094219839823013,0.1,0.125,0.0,0.0,1.2750686241184594,0.1,0.5346901416778564,0.0,1.2750686241184594,0.125,0.5346901416778564,0.0
0.11,0.125,0.0336859756097561,0.130484756097561,1.3385674835461971,0.11,0.5990400314331055,0.0336859756097561,1.3385674835461971,0.125,0.5990400314331055,0.130484756097561,0.5990400314331055,0.18109265653121875,0.6661081314086914,0.2638026302416088,0.11,0.125,0.0336859756097561,0.130484756097561,1.3385674835461971,0.11,0.5990400314331055,0.0336859756097561,1.3385674835461971,0.125,0.5990400314331055,0.130484756097561
0.12000000000000001,0.125,0.04994817073170732,0.13745426829268292,1.4052286081825316,0.12000000000000001,0.6661081314086914,0.04994817073170732,1.4052286081825316,0.125,0.6661081314086914,0.13745426829268292,0.6661081314086914,0.2614788157122495,0.7319669723510742,0.2817709989049786,0.12000000000000001,0.125,0.04994817073170732,0.13745426829268292,1.4052286081825316,0.12000000000000001,0.6661081314086914,0.04994817073170732,1.4052286081825316,0.125,0.6661081314086914,0.13745426829268292
0.13,0.125,0.06698475609756098,0.1448109756097561,1.4752094799309121,0.13,0.7319669723510742,0.06698475609756098,1.4752094799309121,0.125,0.7319669723510742,0.1448109756097561,0.7319669723510742,0.3347368373168145,0.7986431121826172,0.2788618344714941,0.13,0.125,0.06698475609756098,0.1448109756097561,1.4752094799309121,0.13,0.7319669723510742,0.06698475609756098,1.4752094799309121,0.125,0.7319669723510742,0.1448109756097561
0.14,0.125,0.08285975609756098,0.1544908536585366,1.548675423348163,0.14,0.7986431121826172,0.08285975609756098,1.548675423348163,0.125,0.7986431121826172,0.1544908536585366,0.7986431121826172,0.41399900261219974,0.8650259971618652,0.28634016820929836,0.14,0.125,0.08285975609756098,0.1544908536585366,1.548675423348163,0.14,0.7986431121826172,0.08285975609756098,1.548675423348163,0.125,0.7986431121826172,0.1544908536585366
0.15000000000000002,0.125,0.09873475609756098,0.16494512195121952,1.6257999962113414,0.15000000000000002,0.8650259971618652,0.09873475609756098,1.6257999962113414,0.125,0.8650259971618652,0.16494512195121952,0.8650259971618652,0.4574748478960256,0.9308631420135498,0.25254533284901176,0.15000000000000002,0.125,0.09873475609756098,0.16494512195121952,1.6257999962113414,0.15000000000000002,0.8650259971618652,0.09873475609756098,1.6257999962113414,0.125,0.8650259971618652,0.16494512195121952
0.16,0.125,0.11344817073170732,0.17268902439024392,1.7067653995349583,0.16,0.9308631420135498,0.11344817073170732,1.7067653995349583,0.125,0.9308631420135498,0.17268902439024392,0.9308631420135498,0.45747484789602505,0.9970262050628662,0.21747588841380258,0.16,0.125,0.11344817073170732,0.17268902439024392,1.7067653995349583,0.16,0.9308631420135498,0.11344817073170732,1.7067653995349583,0.125,0.9308631420135498,0.17268902439024392
0.16999999999999998,0.125,0.12661280487804877,0.1784969512195122,1.7917629080071984,0.16999999999999998,0.9970262050628662,0.12661280487804877,1.7917629080071984,0.125,0.9970262050628662,0.1784969512195122,0.9970262050628662,0.38307706553700754,1.0626401901245117,0.1715385822326698,0.16999999999999998,0.125,0.12661280487804877,0.1784969512195122,1.7917629080071984,0.16999999999999998,0.9970262050628662,0.12661280487804877,1.7917629080071984,0.125,0.9970262050628662,0.1784969512195122
0.18,0.125,0.13784146341463416,0.17927134146341464,1.8809933218620163,0.18,1.0626401901245117,0.13784146341463416,1.8809933218620163,0.125,1.0626401901245117,0.17927134146341464,1.0626401901245117,0.26504285989745424,1.1287500858306885,0.13672932076849212,0.18,0.125,0.13784146341463416,0.17927134146341464,1.8809933218620163,0.18,1.0626401901245117,0.13784146341463416,1.8809933218620163,0.125,1.0626401901245117,0.17927134146341464
0.19,0.125,0.1467469512195122,0.1777225609756098,1.9746674412546152,0.19,1.1287500858306885,0.1467469512195122,1.9746674412546152,0.125,1.1287500858306885,0.1777225609756098,1.1287500858306885,0.09559811866384045,1.1950020790100098,0.1780348064998702,0.19,0.125,0.1467469512195122,0.1777225609756098,1.9746674412546152,0.19,1.1287500858306885,0.1467469512195122,1.9746674412546152,0.125,1.1287500858306885,0.1777225609756098
0.2,0.125,0.15758841463414636,0.17307621951219515,2.073006564260992,0.2,1.1950020790100098,0.15758841463414636,2.073006564260992,0.125,1.1950020790100098,0.17307621951219515,1.1950020790100098,-0.12266865550445684,1.260749101638794,0.16020263189956463,0.2,0.125,0.15758841463414636,0.17307621951219515,2.073006564260992,0.2,1.1950020790100098,0.15758841463414636,2.073006564260992,0.125,1.1950020790100098,0.17307621951219515
0.21000000000000002,0.125,0.16610670731707317,0.16688109756097563,2.176243009678032,0.21000000000000002,1.260749101638794,0.16610670731707317,2.176243009678032,0.125,1.260749101638794,0.16688109756097563,1.260749101638794,-0.3217505543966425,1.3266842365264893,0.15369447790686383,0.21000000000000002,0.125,0.16610670731707317,0.16688109756097563,2.176243009678032,0.21000000000000002,1.260749101638794,0.16610670731707317,2.176243009678032,0.125,1.260749101638794,0.16688109756097563
