Desired Position: x (m),Desired Position: y (m),Actual Position: x (m),Actual Position: y (m),Desired X-Pos vs. Time: time(s),Desired X-Pos vs. Time: x (m),Actual X-Pos vs. Time: time(s),Actual X-Pos vs. Time: x (m),Desired Y-Pos vs. Time: time(s),Desired Y-Pos vs. Time: y (m),Actual Y-Pos vs. Time: time(s),Actual Y-Pos vs. Time: y (m),Theta vs. Time: time(s),Theta vs. Time: theta (rads),Robot Velocity: time (s),Robot Velocity: velocity (m/s),Position: x (m)1,Position: y (m)1,Position: x (m)2,Position: y (m)2,X-Pos vs. Time: time(s)1,X-Pos vs. Time: x (m)1,X-Pos vs. Time: time(s)2,X-Pos vs. Time: x (m)2,Y-Pos vs. Time: time(s)1,Y-Pos vs. Time: y (m)1,Y-Pos vs. Time: time(s)2,Y-Pos vs. Time: y (m)2
0.15,0.125,0.0,0.0,0.0,0.15,0.1407930850982666,0.0,0.0,0.125,0.1407930850982666,0.0,0.1407930850982666,0.0,0.2068328857421875,0.0,0.15,0.125,0.0,0.0,0.0,0.15,0.1407930850982666,0.0,0.0,0.125,0.1407930850982666,0.0
0.16,0.125,0.0,0.0,1.224744871391589,0.16,0.2068328857421875,0.0,1.224744871391589,0.125,0.2068328857421875,0.0,0.2068328857421875,0.0,0.2759401798248291,0.0,0.16,0.125,0.0,0.0,1.224744871391589,0.16,0.2068328857421875,0.0,1.224744871391589,0.125,0.2068328857421875,0.0
0.16999999999999998,0.125,0.0,0.0,1.7320508075688772,0.16999999999999998,0.2759401798248291,0.0,1.7320508075688772,0.125,0.2759401798248291,0.0,0.2759401798248291,0.0,0.336651086807251,0.0,0.16999999999999998,0.125,0.0,0.0,1.7320508075688772,0.16999999999999998,0.2759401798248291,0.0,1.7320508075688772,0.125,0.2759401798248291,0.0
0.18,0.125,0.0,0.0,2.121320343559643,0.18,0.336651086807251,0.0,2.121320343559643,0.125,0.336651086807251,0.0,0.336651086807251,0.0,0.40253496170043945,0.0,0.18,0.125,0.0,0.0,2.121320343559643,0.18,0.336651086807251,0.0,2.121320343559643,0.125,0.336651086807251,0.0
0.19,0.125,0.0,0.0,2.449489742783178,0.19,0.40253496170043945,0.0,2.449489742783178,0.125,0.40253496170043945,0.0,0.40253496170043945,0.0,0.4700500965118408,0.0,0.19,0.125,0.0,0.0,2.449489742783178,0.19,0.40253496170043945,0.0,2.449489742783178,0.125,0.40253496170043945,0.0
0.2,0.125,0.0,0.0,2.7386127875258306,0.2,0.4700500965118408,0.0,2.7386127875258306,0.125,0.4700500965118408,0.0,0.4700500965118408,0.0,0.5359699726104736,1.8761834897531735,0.2,0.125,0.0,0.0,2.7386127875258306,0.2,0.4700500965118408,0.0,2.7386127875258306,0.125,0.4700500965118408,0.0
0.21,0.125,0.029814024390243905,0.12003048780487806,3.0000000000000004,0.21,0.5359699726104736,0.029814024390243905,3.0000000000000004,0.125,0.5359699726104736,0.12003048780487806,0.5359699726104736,-0.028161566987892447,0.6029760837554932,0.28984831650676496,0.21,0.125,0.029814024390243905,0.12003048780487806,3.0000000000000004,0.21,0.5359699726104736,0.029814024390243905,3.0000000000000004,0.125,0.5359699726104736,0.12003048780487806
0.22,0.125,0.04917378048780488,0.12157926829268294,3.24037034920393,0.22,0.6029760837554932,0.04917378048780488,3.24037034920393,0.125,0.6029760837554932,0.12157926829268294,0.6029760837554932,0.0,0.7032971382141113,0.20488411272333917,0.22,0.125,0.04917378048780488,0.12157926829268294,3.24037034920393,0.22,0.6029760837554932,0.04917378048780488,3.24037034920393,0.125,0.6029760837554932,0.12157926829268294
0.22999999999999998,0.125,0.06969512195121952,0.1227408536585366,3.4641016151377544,0.22999999999999998,0.7032971382141113,0.06969512195121952,3.4641016151377544,0.125,0.7032971382141113,0.1227408536585366,0.7032971382141113,0.04164257909858821,0.768467903137207,0.313537620858584,0.22999999999999998,0.125,0.06969512195121952,0.1227408536585366,3.4641016151377544,0.22999999999999998,0.7032971382141113,0.06969512195121952,3.4641016151377544,0.125,0.7032971382141113,0.1227408536585366
0.24,0.125,0.08982926829268292,0.12622560975609756,3.6742346141747673,0.24,0.768467903137207,0.08982926829268292,3.6742346141747673,0.125,0.768467903137207,0.12622560975609756,0.768467903137207,0.055498505245716874,0.8352949619293213,0.2991066967622225,0.24,0.125,0.08982926829268292,0.12622560975609756,3.6742346141747673,0.24,0.768467903137207,0.08982926829268292,3.6742346141747673,0.125,0.768467903137207,0.12622560975609756
0.25,0.125,0.10957621951219512,0.12932317073170732,3.872983346207417,0.25,0.8352949619293213,0.10957621951219512,3.872983346207417,0.125,0.8352949619293213,0.12932317073170732,0.8352949619293213,0.08200744552618566,0.8997571468353271,0.30248196125867205,0.25,0.125,0.10957621951219512,0.12932317073170732,3.872983346207417,0.25,0.8352949619293213,0.10957621951219512,3.872983346207417,0.125,0.8352949619293213,0.12932317073170732
0.26,0.125,0.12893597560975611,0.13164634146341464,4.06201920231798,0.26,0.8997571468353271,0.12893597560975611,4.06201920231798,0.125,0.8997571468353271,0.13164634146341464,0.8997571468353271,0.08200744552618569,0.965623140335083,0.2793383728731891,0.26,0.125,0.12893597560975611,0.13164634146341464,4.06201920231798,0.26,0.8997571468353271,0.12893597560975611,4.06201920231798,0.125,0.8997571468353271,0.13164634146341464
0.27,0.125,0.14713414634146343,0.13435670731707317,4.242640687119286,0.27,0.965623140335083,0.14713414634146343,4.242640687119286,0.125,0.965623140335083,0.13435670731707317,0.965623140335083,0.0674650245219048,1.032639980316162,0.25656616737685467,0.27,0.125,0.14713414634146343,0.13435670731707317,4.242640687119286,0.27,0.965623140335083,0.14713414634146343,4.242640687119286,0.125,0.965623140335083,0.13435670731707317
0.28,0.125,0.16417073170731708,0.1366798780487805,4.415880433163924,0.28,1.032639980316162,0.16417073170731708,4.415880433163924,0.125,1.032639980316162,0.1366798780487805,1.032639980316162,0.06746502452190481,1.099409818649292,0.23888587634495906,0.28,0.125,0.16417073170731708,0.1366798780487805,4.415880433163924,0.28,1.032639980316162,0.16417073170731708,4.415880433163924,0.125,1.032639980316162,0.1366798780487805
0.29000000000000004,0.125,0.18004573170731708,0.1382286585365854,4.582575694955841,0.29000000000000004,1.099409818649292,0.18004573170731708,4.582575694955841,0.125,1.099409818649292,0.1382286585365854,1.099409818649292,0.0683863435905035,1.1611990928649902,0.20716999914363168,0.29000000000000004,0.125,0.18004573170731708,0.1382286585365854,4.582575694955841,0.29000000000000004,1.099409818649292,0.18004573170731708,4.582575694955841,0.125,1.099409818649292,0.1382286585365854
0.3,0.125,0.19282317073170732,0.1390030487804878,4.743416490252569,0.3,1.1611990928649902,0.19282317073170732,4.743416490252569,0.125,1.1611990928649902,0.1390030487804878,1.1611990928649902,0.04051835247834698,1.229943037033081,0.16421200131431316,0.3,0.125,0.19282317073170732,0.1390030487804878,4.743416490252569,0.3,1.1611990928649902,0.19282317073170732,4.743416490252569,0.125,1.1611990928649902,0.1390030487804878
0.31,0.125,0.20405182926829268,0.14016463414634148,4.898979485566356,0.31,1.229943037033081,0.20405182926829268,4.898979485566356,0.125,1.229943037033081,0.14016463414634148,1.229943037033081,0.02739040847486256,1.2956910133361816,0.1473447458135267,0.31,0.125,0.20405182926829268,0.14016463414634148,4.898979485566356,0.31,1.229943037033081,0.20405182926829268,4.898979485566356,0.125,1.229943037033081,0.14016463414634148
0.32,0.125,0.2137317073170732,0.13977743902439027,5.04975246918104,0.32,1.2956910133361816,0.2137317073170732,5.04975246918104,0.125,1.2956910133361816,0.13977743902439027,1.2956910133361816,-0.013512691013328222,1.3625547885894775,0.13331435567618188,0.32,0.125,0.2137317073170732,0.13977743902439027,5.04975246918104,0.32,1.2956910133361816,0.2137317073170732,5.04975246918104,0.125,1.2956910133361816,0.13977743902439027
0.32999999999999996,0.125,0.22263719512195124,0.13939024390243904,5.196152422706632,0.32999999999999996,1.3625547885894775,0.22263719512195124,5.196152422706632,0.125,1.3625547885894775,0.13939024390243904,1.3625547885894775,-0.026660348374597968,1.428135871887207,0.11867028176551074,0.32999999999999996,0.125,0.22263719512195124,0.13939024390243904,5.196152422706632,0.32999999999999996,1.3625547885894775,0.22263719512195124,5.196152422706632,0.125,1.3625547885894775,0.13939024390243904
0.33999999999999997,0.125,0.23038109756097563,0.1386158536585366,5.338539126015656,0.33999999999999997,1.428135871887207,0.23038109756097563,5.338539126015656,0.125,1.428135871887207,0.1386158536585366,1.428135871887207,-0.08200744552618569,1.4940989017486572,0.08882741478123897,0.33999999999999997,0.125,0.23038109756097563,0.1386158536585366,5.338539126015656,0.33999999999999997,1.428135871887207,0.23038109756097563,5.338539126015656,0.125,1.428135871887207,0.1386158536585366
0.35,0.125,0.23618902439024392,0.13784146341463416,5.477225575051661,0.35,1.4940989017486572,0.23618902439024392,5.477225575051661,0.125,1.4940989017486572,0.13784146341463416,1.4940989017486572,-0.10768987083282079,1.5607399940490723,0.08459714386706361,0.35,0.125,0.23618902439024392,0.13784146341463416,5.477225575051661,0.35,1.4940989017486572,0.23618902439024392,5.477225575051661,0.125,1.4940989017486572,0.13784146341463416
0.36,0.125,0.24160975609756097,0.13629268292682928,5.612486080160912,0.36,1.5607399940490723,0.24160975609756097,5.612486080160912,0.125,1.5607399940490723,0.13629268292682928,1.5607399940490723,-0.1343214419529687,1.6265590190887451,0.0614174359083734,0.36,0.125,0.24160975609756097,0.13629268292682928,5.612486080160912,0.36,1.5607399940490723,0.24160975609756097,5.612486080160912,0.125,1.5607399940490723,0.13629268292682928
0.37,0.125,0.24548170731707317,0.13513109756097563,5.744562646538029,0.37,1.6265590190887451,0.24548170731707317,5.744562646538029,0.125,1.6265590190887451,0.13513109756097563,1.6265590190887451,-0.2053953891897676,1.692945957183838,0.057737805948308824,0.37,0.125,0.24548170731707317,0.13513109756097563,5.744562646538029,0.37,1.6265590190887451,0.24548170731707317,5.744562646538029,0.125,1.6265590190887451,0.13513109756097563
0.38,0.125,0.24819207317073172,0.13242073170731708,5.873670062235366,0.38,1.692945957183838,0.24819207317073172,5.873670062235366,0.125,1.692945957183838,0.13242073170731708,1.692945957183838,-0.2674107971838738,1.758655071258545,0.060667653553688486,0.38,0.125,0.24819207317073172,0.13242073170731708,5.873670062235366,0.38,1.692945957183838,0.24819207317073172,5.873670062235366,0.125,1.692945957183838,0.13242073170731708
