Desired Position: x (m),Desired Position: y (m),Actual Position: x (m),Actual Position: y (m),Desired X-Pos vs. Time: time(s),Desired X-Pos vs. Time: x (m),Actual X-Pos vs. Time: time(s),Actual X-Pos vs. Time: x (m),Desired Y-Pos vs. Time: time(s),Desired Y-Pos vs. Time: y (m),Actual Y-Pos vs. Time: time(s),Actual Y-Pos vs. Time: y (m),Theta vs. Time: time(s),Theta vs. Time: theta,Robot Velocity: time (s),Robot Velocity: velocity (m/s)
0.05,0.15,0.13435670731707317,0.16184756097560976,0.0,0.05,0.15617895126342773,0.13435670731707317,0.0,0.15,0.15617895126342773,0.16184756097560976,0.15617895126342773,-0.17985349979247828,0.2393660545349121,0.013963527039314812
0.051000000000000004,0.15,0.13319512195121952,0.16184756097560976,0.01430615164520744,0.051000000000000004,0.2393660545349121,0.13319512195121952,0.01430615164520744,0.15,0.2393660545349121,0.16184756097560976,0.2393660545349121,0.24497866312686414,0.30493688583374023,1.5555138774943345
0.052000000000000005,0.15,0.06504878048780488,0.2377378048780488,0.02861230329041488,0.052000000000000005,0.30493688583374023,0.06504878048780488,0.02861230329041488,0.15,0.30493688583374023,0.2377378048780488,0.30493688583374023,-0.8671825440154443,0.4066801071166992,0.003805610998637325
0.053000000000000005,0.15,0.0654359756097561,0.2377378048780488,0.04291845493562232,0.053000000000000005,0.4066801071166992,0.0654359756097561,0.04291845493562232,0.15,0.4066801071166992,0.2377378048780488,0.4066801071166992,-0.8642533849864857,0.47144007682800293,3.807581352351103
0.054000000000000006,0.15,0.0,0.0,0.05722460658082976,0.054000000000000006,0.47144007682800293,0.0,0.05722460658082976,0.15,0.47144007682800293,0.0,0.47144007682800293,0.0,0.5363891124725342,4.840756077505565
0.055,0.15,0.0,0.31440243902439025,0.07153075822603719,0.055,0.5363891124725342,0.0,0.07153075822603719,0.15,0.5363891124725342,0.31440243902439025,0.5363891124725342,0.0,0.6016120910644531,1.6078118636676337
0.056,0.15,0.06427439024390244,0.23154268292682928,0.08583690987124463,0.056,0.6016120910644531,0.06427439024390244,0.08583690987124463,0.15,0.6016120910644531,0.23154268292682928,0.6016120910644531,-0.9110484940072945,0.6679520606994629,3.622223116599651
0.057,0.15,0.0,0.0,0.10014306151645208,0.057,0.6679520606994629,0.0,0.10014306151645208,0.15,0.6679520606994629,0.0,0.6679520606994629,0.0,0.7390041351318359,3.353696074856999
0.058,0.15,0.07279268292682928,0.22689634146341464,0.11444921316165951,0.058,0.7390041351318359,0.07279268292682928,0.11444921316165951,0.15,0.7390041351318359,0.22689634146341464,0.7390041351318359,-0.8769291305172466,0.805103063583374,1.514185016708415
0.059000000000000004,0.15,0.12274085365853658,0.14016463414634148,0.12875536480686695,0.059000000000000004,0.805103063583374,0.12274085365853658,0.12875536480686695,0.15,0.805103063583374,0.14016463414634148,0.805103063583374,2.848879578365796,0.8666200637817383,0.22910927282774113
0.060000000000000005,0.15,0.13590548780487804,0.13513109756097563,0.14306151645207438,0.060000000000000005,0.8666200637817383,0.13590548780487804,0.14306151645207438,0.15,0.8666200637817383,0.13513109756097563,0.8666200637817383,-0.3293261670478379,0.9372029304504395,0.5786028841725431
0.061000000000000006,0.15,0.17385060975609756,0.12003048780487806,0.15736766809728184,0.061000000000000006,0.9372029304504395,0.17385060975609756,0.15736766809728184,0.15,0.9372029304504395,0.12003048780487806,0.9372029304504395,0.0,0.9984300136566162,0.19522379774142912
0.062000000000000006,0.15,0.18469207317073172,0.1149969512195122,0.17167381974248927,0.062000000000000006,0.9984300136566162,0.18469207317073172,0.17167381974248927,0.15,0.9984300136566162,0.1149969512195122,0.9984300136566162,1.9379701606131159,1.0646111965179443,0.07957583718895855
0.063,0.15,0.18778963414634148,0.11925609756097562,0.1859799713876967,0.063,1.0646111965179443,0.18778963414634148,0.1859799713876967,0.15,1.0646111965179443,0.11925609756097562,1.0646111965179443,0.4182243295792291,1.1315040588378906,3.3255663999064846
0.064,0.15,0.0,0.0,0.20028612303290416,0.064,1.1315040588378906,0.0,0.20028612303290416,0.15,1.1315040588378906,0.0,1.1315040588378906,0.0,1.195775032043457,4.891826330664001
0.065,0.15,0.0,0.31440243902439025,0.2145922746781116,0.065,1.195775032043457,0.0,0.2145922746781116,0.15,1.195775032043457,0.31440243902439025,1.195775032043457,0.0,1.2631261348724365,4.6681112234009445
0.066,0.15,0.0,0.0,0.22889842632331903,0.066,1.2631261348724365,0.0,0.22889842632331903,0.15,1.2631261348724365,0.0,1.2631261348724365,0.0,1.3293302059173584,0.0
0.067,0.15,0.0,0.0,0.24320457796852646,0.067,1.3293302059173584,0.0,0.24320457796852646,0.15,1.3293302059173584,0.0,1.3293302059173584,0.0,1.3957092761993408,0.0
0.068,0.15,0.0,0.0,0.2575107296137339,0.068,1.3957092761993408,0.0,0.2575107296137339,0.15,1.3957092761993408,0.0,1.3957092761993408,0.0,1.4617772102355957,0.0
0.069,0.15,0.0,0.0,0.2718168812589413,0.069,1.4617772102355957,0.0,0.2718168812589413,0.15,1.4617772102355957,0.0,1.4617772102355957,0.0,1.5281291007995605,4.738409657239512
0.07,0.15,0.0,0.31440243902439025,0.28612303290414876,0.07,1.5281291007995605,0.0,0.28612303290414876,0.15,1.5281291007995605,0.31440243902439025,1.5281291007995605,0.0,1.595919132232666,1.7553552523297802
0.07100000000000001,0.15,0.11035060975609756,0.269875,0.30042918454935624,0.07100000000000001,1.595919132232666,0.11035060975609756,0.30042918454935624,0.15,1.595919132232666,0.269875,1.595919132232666,-0.38352751595699175,1.659729242324829,0.1666195880030624
