Desired Position: x (m),Desired Position: y (m),Actual Position: x (m),Actual Position: y (m),Desired X-Pos vs. Time: time(s),Desired X-Pos vs. Time: x (m),Actual X-Pos vs. Time: time(s),Actual X-Pos vs. Time: x (m),Desired Y-Pos vs. Time: time(s),Desired Y-Pos vs. Time: y (m),Actual Y-Pos vs. Time: time(s),Actual Y-Pos vs. Time: y (m),Theta vs. Time: time(s),Theta vs. Time: theta,Robot Velocity: time (s),Robot Velocity: velocity (m/s),Position: x (m)1,Position: y (m)1,Position: x (m)2,Position: y (m)2,X-Pos vs. Time: time(s)1,X-Pos vs. Time: x (m)1,X-Pos vs. Time: time(s)2,X-Pos vs. Time: x (m)2,Y-Pos vs. Time: time(s)1,Y-Pos vs. Time: y (m)1,Y-Pos vs. Time: time(s)2,Y-Pos vs. Time: y (m)2
0.05,0.15,0.27452134146341467,0.17346341463414636,0.0,0.05,0.1557021141052246,0.27452134146341467,0.0,0.15,0.1557021141052246,0.17346341463414636,0.1557021141052246,-2.9617391537973154,0.23688817024230957,0.4074833449889371,0.05,0.15,0.27452134146341467,0.17346341463414636,0.0,0.05,0.1557021141052246,0.27452134146341467,0.0,0.15,0.1557021141052246,0.17346341463414636
0.051000000000000004,0.15,0.24354573170731708,0.16184756097560976,0.01430615164520744,0.051000000000000004,0.23688817024230957,0.24354573170731708,0.01430615164520744,0.15,0.23688817024230957,0.16184756097560976,0.23688817024230957,0.49305089720481104,0.3025522232055664,0.5119192369630133,0.051000000000000004,0.15,0.24354573170731708,0.16184756097560976,0.01430615164520744,0.051000000000000004,0.23688817024230957,0.24354573170731708,0.01430615164520744,0.15,0.23688817024230957,0.16184756097560976
0.052000000000000005,0.15,0.27413414634146344,0.17578658536585368,0.02861230329041488,0.052000000000000005,0.3025522232055664,0.27413414634146344,0.02861230329041488,0.15,0.3025522232055664,0.17578658536585368,0.3025522232055664,-2.896613990462929,0.40421319007873535,0.32874092873781113,0.052000000000000005,0.15,0.27413414634146344,0.17578658536585368,0.02861230329041488,0.052000000000000005,0.3025522232055664,0.27413414634146344,0.02861230329041488,0.15,0.3025522232055664,0.17578658536585368
0.053000000000000005,0.15,0.24432012195121952,0.16068597560975612,0.04291845493562232,0.053000000000000005,0.40421319007873535,0.24432012195121952,0.04291845493562232,0.15,0.40421319007873535,0.16068597560975612,0.40421319007873535,0.44610554894340343,0.4698653221130371,0.013187608481425958,0.053000000000000005,0.15,0.24432012195121952,0.16068597560975612,0.04291845493562232,0.053000000000000005,0.40421319007873535,0.24432012195121952,0.04291845493562232,0.15,0.40421319007873535,0.16068597560975612
0.054000000000000006,0.15,0.24509451219512196,0.16029878048780488,0.05722460658082976,0.054000000000000006,0.4698653221130371,0.24509451219512196,0.05722460658082976,0.15,0.4698653221130371,0.16029878048780488,0.4698653221130371,0.5057913155944036,0.5350551605224609,0.4993774916135058,0.054000000000000006,0.15,0.24509451219512196,0.16029878048780488,0.05722460658082976,0.054000000000000006,0.4698653221130371,0.24509451219512196,0.05722460658082976,0.15,0.4698653221130371,0.16029878048780488
0.055,0.15,0.2741341463414634,0.17501219512195124,0.07153075822603719,0.055,0.5350551605224609,0.2741341463414634,0.07153075822603719,0.15,0.5350551605224609,0.17501219512195124,0.5350551605224609,-2.9441970937399127,0.6001121997833252,0.0,0.055,0.15,0.2741341463414634,0.17501219512195124,0.07153075822603719,0.055,0.5350551605224609,0.2741341463414634,0.07153075822603719,0.15,0.5350551605224609,0.17501219512195124
0.056,0.15,0.2741341463414634,0.17501219512195124,0.08583690987124463,0.056,0.6001121997833252,0.2741341463414634,0.08583690987124463,0.15,0.6001121997833252,0.17501219512195124,0.6001121997833252,-2.819842099193151,0.6653680801391602,0.02653537454458254,0.056,0.15,0.2741341463414634,0.17501219512195124,0.08583690987124463,0.056,0.6001121997833252,0.2741341463414634,0.08583690987124463,0.15,0.6001121997833252,0.17501219512195124
0.057,0.15,0.2756829268292683,0.1742378048780488,0.10014306151645208,0.057,0.6653680801391602,0.2756829268292683,0.10014306151645208,0.15,0.6653680801391602,0.1742378048780488,0.6653680801391602,-2.356194490192345,0.7321441173553467,0.04415940686823269,0.057,0.15,0.2756829268292683,0.1742378048780488,0.10014306151645208,0.057,0.6653680801391602,0.2756829268292683,0.10014306151645208,0.15,0.6653680801391602,0.1742378048780488
0.058,0.15,0.27297256097560973,0.17307621951219515,0.11444921316165951,0.058,0.7321441173553467,0.27297256097560973,0.11444921316165951,0.15,0.7321441173553467,0.17307621951219515,0.7321441173553467,-0.19739555984988214,0.7990100383758545,0.42508828657326647,0.058,0.15,0.27297256097560973,0.17307621951219515,0.11444921316165951,0.058,0.7321441173553467,0.27297256097560973,0.11444921316165951,0.15,0.7321441173553467,0.17307621951219515
0.059000000000000004,0.15,0.24703048780487805,0.16146036585365856,0.12875536480686695,0.059000000000000004,0.7990100383758545,0.24703048780487805,0.12875536480686695,0.15,0.7990100383758545,0.16146036585365856,0.7990100383758545,0.5280744484263598,0.8654823303222656,0.04803343885948207,0.059000000000000004,0.15,0.24703048780487805,0.16146036585365856,0.12875536480686695,0.059000000000000004,0.7990100383758545,0.24703048780487805,0.12875536480686695,0.15,0.7990100383758545,0.16146036585365856
