Desired Position: x (m),Desired Position: y (m),Actual Position: x (m),Actual Position: y (m),Desired X-Pos vs. Time: time(s),Desired X-Pos vs. Time: x (m),Actual X-Pos vs. Time: time(s),Actual X-Pos vs. Time: x (m),Desired Y-Pos vs. Time: time(s),Desired Y-Pos vs. Time: y (m),Actual Y-Pos vs. Time: time(s),Actual Y-Pos vs. Time: y (m),Theta vs. Time: time(s),Theta vs. Time: theta (rads),Robot Velocity: time (s),Robot Velocity: velocity (m/s),Position: x (m)1,Position: y (m)1,Position: x (m)2,Position: y (m)2,X-Pos vs. Time: time(s)1,X-Pos vs. Time: x (m)1,X-Pos vs. Time: time(s)2,X-Pos vs. Time: x (m)2,Y-Pos vs. Time: time(s)1,Y-Pos vs. Time: y (m)1,Y-Pos vs. Time: time(s)2,Y-Pos vs. Time: y (m)2
0.05,0.08,0.08828048780487806,0.2512896341463415,0.0,0.05,0.15172886848449707,0.08828048780487806,0.0,0.08,0.15172886848449707,0.2512896341463415,0.15172886848449707,3.1280799625764644,0.2339329719543457,0.004710167809241273,0.05,0.08,0.08828048780487806,0.2512896341463415,0.0,0.05,0.15172886848449707,0.08828048780487806,0.0,0.08,0.15172886848449707,0.2512896341463415
0.051000000000000004,0.08,0.08866768292682928,0.2512896341463415,0.010330578512396695,0.051000000000000004,0.2339329719543457,0.08866768292682928,0.010330578512396695,0.08,0.2339329719543457,0.2512896341463415,0.2339329719543457,3.127894880216927,0.2988007068634033,0.0,0.051000000000000004,0.08,0.08866768292682928,0.2512896341463415,0.010330578512396695,0.051000000000000004,0.2339329719543457,0.08866768292682928,0.010330578512396695,0.08,0.2339329719543457,0.2512896341463415
0.052000000000000005,0.08,0.08866768292682928,0.2512896341463415,0.02066115702479339,0.052000000000000005,0.2988007068634033,0.08866768292682928,0.02066115702479339,0.08,0.2988007068634033,0.2512896341463415,0.2988007068634033,3.127894880216927,0.3636636734008789,0.04812710609298196,0.052000000000000005,0.08,0.08866768292682928,0.2512896341463415,0.02066115702479339,0.052000000000000005,0.2988007068634033,0.08866768292682928,0.02066115702479339,0.08,0.2988007068634033,0.2512896341463415
0.053000000000000005,0.08,0.08557012195121952,0.2516768292682927,0.030991735537190084,0.053000000000000005,0.3636636734008789,0.08557012195121952,0.030991735537190084,0.08,0.3636636734008789,0.2516768292682927,0.3636636734008789,3.141592653589793,0.4317479133605957,0.08280398042384153,0.053000000000000005,0.08,0.08557012195121952,0.2516768292682927,0.030991735537190084,0.053000000000000005,0.3636636734008789,0.08557012195121952,0.030991735537190084,0.08,0.3636636734008789,0.2516768292682927
0.054000000000000006,0.08,0.08014939024390244,0.2501280487804878,0.04132231404958678,0.054000000000000006,0.4317479133605957,0.08014939024390244,0.04132231404958678,0.08,0.4317479133605957,0.2501280487804878,0.4317479133605957,-3.0595852080636075,0.49770379066467285,0.1319234696307043,0.054000000000000006,0.08,0.08014939024390244,0.2501280487804878,0.04132231404958678,0.054000000000000006,0.4317479133605957,0.08014939024390244,0.04132231404958678,0.08,0.4317479133605957,0.2501280487804878
0.05500000000000001,0.08,0.07201829268292684,0.24703048780487807,0.05165289256198347,0.05500000000000001,0.49770379066467285,0.07201829268292684,0.05165289256198347,0.08,0.49770379066467285,0.24703048780487807,0.49770379066467285,-2.9495446363490636,0.5640659332275391,0.16960468028059567,0.05500000000000001,0.08,0.07201829268292684,0.24703048780487807,0.05165289256198347,0.05500000000000001,0.49770379066467285,0.07201829268292684,0.05165289256198347,0.08,0.49770379066467285,0.24703048780487807
0.056,0.08,0.06195121951219513,0.2419969512195122,0.06198347107438017,0.056,0.5640659332275391,0.06195121951219513,0.06198347107438017,0.08,0.5640659332275391,0.2419969512195122,0.5640659332275391,-2.84206066451987,0.6300687789916992,0.1660288173617952,0.056,0.08,0.06195121951219513,0.2419969512195122,0.06198347107438017,0.056,0.5640659332275391,0.06195121951219513,0.06198347107438017,0.08,0.5640659332275391,0.2419969512195122
0.057,0.08,0.05265853658536585,0.23618902439024392,0.07231404958677687,0.057,0.6300687789916992,0.05265853658536585,0.07231404958677687,0.08,0.6300687789916992,0.23618902439024392,0.6300687789916992,-2.7032560937318357,0.6964168548583984,0.08294252061223412,0.057,0.08,0.05265853658536585,0.23618902439024392,0.07231404958677687,0.057,0.6300687789916992,0.05265853658536585,0.07231404958677687,0.08,0.6300687789916992,0.23618902439024392
0.058,0.08,0.04839939024390244,0.23270426829268293,0.08264462809917356,0.058,0.6964168548583984,0.04839939024390244,0.08264462809917356,0.08,0.6964168548583984,0.23270426829268293,0.6964168548583984,-2.634494149197456,0.7612099647521973,0.17330019434149765,0.058,0.08,0.04839939024390244,0.23270426829268293,0.08264462809917356,0.058,0.6964168548583984,0.04839939024390244,0.08264462809917356,0.08,0.6964168548583984,0.23270426829268293
0.059000000000000004,0.08,0.04026829268292683,0.22496036585365856,0.09297520661157024,0.059000000000000004,0.7612099647521973,0.04026829268292683,0.09297520661157024,0.08,0.7612099647521973,0.22496036585365856,0.7612099647521973,-2.503631654320283,0.8278980255126953,0.17076145331490356,0.059000000000000004,0.08,0.04026829268292683,0.22496036585365856,0.09297520661157024,0.059000000000000004,0.7612099647521973,0.04026829268292683,0.09297520661157024,0.08,0.7612099647521973,0.22496036585365856
