desired path: x position,desired path: y position,robot position: x position,robot position: y position,Fish Position: x (m),Fish Position: y (m),Desired Position: x (m),Desired Position: y (m),Actual Position: x (m),Actual Position: y (m),Desired X-Pos vs. Time: time(s),Desired X-Pos vs. Time: x (m),Actual X-Pos vs. Time: time(s),Actual X-Pos vs. Time: x (m),Desired Y-Pos vs. Time: time(s),Desired Y-Pos vs. Time: y (m),Actual Y-Pos vs. Time: time(s),Actual Y-Pos vs. Time: y (m),Desired Theta vs. Time: time(s),Desired Theta vs. Time: theta (rads),Theta vs. Time: time(s),Theta vs. Time: theta (rads),Robot Velocity: time (s),Robot Velocity: velocity (m/s),Position: x (m)1,Position: y (m)1,Position: x (m)2,Position: y (m)2,X-Pos vs. Time: time(s)1,X-Pos vs. Time: x (m)1,X-Pos vs. Time: time(s)2,X-Pos vs. Time: x (m)2,Y-Pos vs. Time: time(s)1,Y-Pos vs. Time: y (m)1,Y-Pos vs. Time: time(s)2,Y-Pos vs. Time: y (m)2,Theta vs. Theta Des: time(s)1,Theta vs. Theta Des: theta (rad)1,Theta vs. Theta Des: time(s)2,Theta vs. Theta Des: theta (rad)2
0.055871009826660156,0.08,0.10531707317073172,0.05614329268292683,0.11901824500434405,0.06903114186851213,0.055871009826660156,0.08,0.10531707317073172,0.05614329268292683,0.11742019653320312,0.055871009826660156,0.11742019653320312,0.10531707317073172,0.11742019653320312,0.08,0.11742019653320312,0.05614329268292683,0.11742019653320312,0.0,0.11742019653320312,0.2258116815433553,0.44394707679748535,0.0,0.055871009826660156,0.08,0.10531707317073172,0.05614329268292683,0.11742019653320312,0.055871009826660156,0.11742019653320312,0.10531707317073172,0.11742019653320312,0.08,0.11742019653320312,0.05614329268292683,0.11742019653320312,0.0,0.11742019653320312,0.2258116815433553
0.07219735383987427,0.08,0.10531707317073172,0.05614329268292683,0.1902606429192007,0.08460207612456751,0.07219735383987427,0.08,0.10531707317073172,0.05614329268292683,0.44394707679748535,0.07219735383987427,0.44394707679748535,0.10531707317073172,0.44394707679748535,0.08,0.44394707679748535,0.05614329268292683,0.44394707679748535,0.0,0.44394707679748535,0.2258116815433553,0.6898770332336426,0.06026112799491383,0.07219735383987427,0.08,0.10531707317073172,0.05614329268292683,0.44394707679748535,0.07219735383987427,0.44394707679748535,0.10531707317073172,0.44394707679748535,0.08,0.44394707679748535,0.05614329268292683,0.44394707679748535,0.0,0.44394707679748535,0.2258116815433553
0.08449385166168213,0.08,0.10028353658536586,0.07008231707317072,0.22414422241529103,0.10536332179930798,0.08449385166168213,0.08,0.10028353658536586,0.07008231707317072,0.6898770332336426,0.08449385166168213,0.6898770332336426,0.10028353658536586,0.6898770332336426,0.08,0.6898770332336426,0.07008231707317072,0.6898770332336426,0.0,0.6898770332336426,0.840896668643165,0.9072802066802979,0.09385381656538776,0.08449385166168213,0.08,0.10028353658536586,0.07008231707317072,0.6898770332336426,0.08449385166168213,0.6898770332336426,0.10028353658536586,0.6898770332336426,0.08,0.6898770332336426,0.07008231707317072,0.6898770332336426,0.0,0.6898770332336426,0.840896668643165
0.0953640103340149,0.08,0.0832469512195122,0.0813109756097561,0.2528149435273675,0.11141868512110727,0.0953640103340149,0.08,0.0832469512195122,0.0813109756097561,0.9072802066802979,0.0953640103340149,0.9072802066802979,0.0832469512195122,0.9072802066802979,0.08,0.9072802066802979,0.0813109756097561,0.9072802066802979,0.0,0.9072802066802979,1.710898051191527,1.109694242477417,0.09776329701148002,0.0953640103340149,0.08,0.0832469512195122,0.0813109756097561,0.9072802066802979,0.0953640103340149,0.9072802066802979,0.0832469512195122,0.9072802066802979,0.08,0.9072802066802979,0.0813109756097561,0.9072802066802979,0.0,0.9072802066802979,1.710898051191527
0.10548471212387085,0.08,0.06621036585365854,0.0712439024390244,0.22675065160729801,0.09930795847750869,0.10548471212387085,0.08,0.06621036585365854,0.0712439024390244,1.109694242477417,0.10548471212387085,1.109694242477417,0.06621036585365854,1.109694242477417,0.08,1.109694242477417,0.0712439024390244,1.109694242477417,0.0,1.109694242477417,2.505517150886042,1.304291009902954,0.0587897180631104,0.10548471212387085,0.08,0.06621036585365854,0.0712439024390244,1.109694242477417,0.10548471212387085,1.109694242477417,0.06621036585365854,1.109694242477417,0.08,1.109694242477417,0.0712439024390244,1.109694242477417,0.0,1.109694242477417,2.505517150886042
0.1152145504951477,0.08,0.0615640243902439,0.06078963414634147,0.2736663770634231,0.11574394463667821,0.1152145504951477,0.08,0.0615640243902439,0.06078963414634147,1.304291009902954,0.1152145504951477,1.304291009902954,0.0615640243902439,1.304291009902954,0.08,1.304291009902954,0.06078963414634147,1.304291009902954,0.0,1.304291009902954,2.905568974963896,1.5057871341705322,0.10383759145231031,0.1152145504951477,0.08,0.0615640243902439,0.06078963414634147,1.304291009902954,0.1152145504951477,1.304291009902954,0.0615640243902439,1.304291009902954,0.08,1.304291009902954,0.06078963414634147,1.304291009902954,0.0,1.304291009902954,2.905568974963896
0.12528935670852662,0.08,0.06233841463414634,0.08169817073170732,0.24412684622067765,0.10536332179930798,0.12528935670852662,0.08,0.06233841463414634,0.08169817073170732,1.5057871341705322,0.12528935670852662,1.5057871341705322,0.06233841463414634,1.5057871341705322,0.08,1.5057871341705322,0.08169817073170732,1.5057871341705322,0.0,1.5057871341705322,2.2861339075538893,1.6913530826568604,0.15024705627981721,0.12528935670852662,0.08,0.06233841463414634,0.08169817073170732,1.5057871341705322,0.12528935670852662,1.5057871341705322,0.06233841463414634,1.5057871341705322,0.08,1.5057871341705322,0.08169817073170732,1.5057871341705322,0.0,1.5057871341705322,2.2861339075538893
0.13456765413284302,0.08,0.079375,0.10376829268292684,0.2875673327541268,0.11055363321799312,0.13456765413284302,0.08,0.079375,0.10376829268292684,1.6913530826568604,0.13456765413284302,1.6913530826568604,0.079375,1.6913530826568604,0.08,1.6913530826568604,0.10376829268292684,1.6913530826568604,0.0,1.6913530826568604,1.4559197213779973,1.888375997543335,0.14259763573531556,0.13456765413284302,0.08,0.079375,0.10376829268292684,1.6913530826568604,0.13456765413284302,1.6913530826568604,0.079375,1.6913530826568604,0.08,1.6913530826568604,0.10376829268292684,1.6913530826568604,0.0,1.6913530826568604,1.4559197213779973
0.14441879987716674,0.08,0.1072530487804878,0.1072530487804878,0.2675847089487402,0.11487889273356401,0.14441879987716674,0.08,0.1072530487804878,0.1072530487804878,1.888375997543335,0.14441879987716674,1.888375997543335,0.1072530487804878,1.888375997543335,0.08,1.888375997543335,0.1072530487804878,1.888375997543335,0.0,1.888375997543335,0.6564873917134567,2.0861592292785645,0.12056793694591865,0.14441879987716674,0.08,0.1072530487804878,0.1072530487804878,1.888375997543335,0.14441879987716674,1.888375997543335,0.1072530487804878,1.888375997543335,0.08,1.888375997543335,0.1072530487804878,1.888375997543335,0.0,1.888375997543335,0.6564873917134567
0.15430796146392822,0.08,0.12738719512195124,0.09447560975609756,0.3223197219808862,0.11574394463667821,0.15430796146392822,0.08,0.12738719512195124,0.09447560975609756,2.0861592292785645,0.15430796146392822,2.0861592292785645,0.12738719512195124,2.0861592292785645,0.08,2.0861592292785645,0.09447560975609756,2.0861592292785645,0.0,2.0861592292785645,0.0,2.284210205078125,0.09269387633824172,0.15430796146392822,0.08,0.12738719512195124,0.09447560975609756,2.0861592292785645,0.15430796146392822,2.0861592292785645,0.12738719512195124,2.0861592292785645,0.08,2.0861592292785645,0.09447560975609756,2.0861592292785645,0.0,2.0861592292785645,0.0
