desired path: x position,desired path: y position,robot position: x position,robot position: y position,Desired Position: x (m),Desired Position: y (m),Actual Position: x (m),Actual Position: y (m),Desired X-Pos vs. Time: time(s),Desired X-Pos vs. Time: x (m),Actual X-Pos vs. Time: time(s),Actual X-Pos vs. Time: x (m),Desired Y-Pos vs. Time: time(s),Desired Y-Pos vs. Time: y (m),Actual Y-Pos vs. Time: time(s),Actual Y-Pos vs. Time: y (m),Theta vs. Time: time(s),Theta vs. Time: theta (rads),Robot Velocity: time (s),Robot Velocity: velocity (m/s),Position: x (m)1,Position: y (m)1,Position: x (m)2,Position: y (m)2,X-Pos vs. Time: time(s)1,X-Pos vs. Time: x (m)1,X-Pos vs. Time: time(s)2,X-Pos vs. Time: x (m)2,Y-Pos vs. Time: time(s)1,Y-Pos vs. Time: y (m)1,Y-Pos vs. Time: time(s)2,Y-Pos vs. Time: y (m)2
0.1,0.125,0.06582317073170732,0.12390243902439024,0.1,0.125,0.06582317073170732,0.12390243902439024,0.0,0.1,0.15415287017822266,0.06582317073170732,0.0,0.125,0.15415287017822266,0.12390243902439024,0.15415287017822266,-0.20304521725346505,0.2669508457183838,0.006865284950320071,0.1,0.125,0.06582317073170732,0.12390243902439024,0.0,0.1,0.15415287017822266,0.06582317073170732,0.0,0.125,0.15415287017822266,0.12390243902439024
0.15,0.125,0.06582317073170732,0.1231280487804878,0.15,0.125,0.06582317073170732,0.1231280487804878,1.0,0.15,0.2669508457183838,0.06582317073170732,1.0,0.125,0.2669508457183838,0.1231280487804878,0.2669508457183838,-0.20304521725346505,0.36281275749206543,0.012117277283140585,0.15,0.125,0.06582317073170732,0.1231280487804878,1.0,0.15,0.2669508457183838,0.06582317073170732,1.0,0.125,0.2669508457183838,0.1231280487804878
0.2,0.125,0.06698475609756098,0.1231280487804878,0.2,0.125,0.06698475609756098,0.1231280487804878,2.0,0.2,0.36281275749206543,0.06698475609756098,2.0,0.125,0.36281275749206543,0.1231280487804878,0.36281275749206543,-0.2001810679658886,0.46155476570129395,0.12700349303275413,0.2,0.125,0.06698475609756098,0.1231280487804878,2.0,0.2,0.36281275749206543,0.06698475609756098,2.0,0.125,0.36281275749206543,0.1231280487804878
0.3,0.125,0.079375,0.12119207317073172,0.3,0.125,0.079375,0.12119207317073172,3.0,0.3,0.46155476570129395,0.079375,3.0,0.125,0.46155476570129395,0.12119207317073172,0.46155476570129395,-0.24848742065740267,0.5615527629852295,0.2521579768017175,0.3,0.125,0.079375,0.12119207317073172,3.0,0.3,0.46155476570129395,0.079375,3.0,0.125,0.46155476570129395,0.12119207317073172
0.4,0.125,0.10454268292682928,0.11964329268292684,0.4,0.125,0.10454268292682928,0.11964329268292684,4.0,0.4,0.5615527629852295,0.10454268292682928,4.0,0.125,0.5615527629852295,0.11964329268292684,0.5615527629852295,-0.2449786631268641,0.6954927444458008,0.19954970736812566,0.4,0.125,0.10454268292682928,0.11964329268292684,4.0,0.4,0.5615527629852295,0.10454268292682928,4.0,0.125,0.5615527629852295,0.11964329268292684
,,0.1312591463414634,0.1188689024390244,,,0.1312591463414634,0.1188689024390244,,,0.6954927444458008,0.1312591463414634,,,0.6954927444458008,0.1188689024390244,0.6954927444458008,-0.15370752905847918,0.7938628196716309,0.24875447598759678,,,0.1312591463414634,0.1188689024390244,,,0.6954927444458008,0.1312591463414634,,,0.6954927444458008,0.1188689024390244
,,0.15565243902439024,0.12080487804878048,,,0.15565243902439024,0.12080487804878048,,,0.7938628196716309,0.15565243902439024,,,0.7938628196716309,0.12080487804878048,0.7938628196716309,-0.11379200714370794,0.8914039134979248,0.21962102826547505,,,0.15565243902439024,0.12080487804878048,,,0.7938628196716309,0.15565243902439024,,,0.7938628196716309,0.12080487804878048
,,0.17694817073170732,0.1231280487804878,,,0.17694817073170732,0.1231280487804878,,,0.8914039134979248,0.17694817073170732,,,0.8914039134979248,0.1231280487804878,0.8914039134979248,-0.028161566987892187,0.9911386966705322,0.18126396525749,,,0.17694817073170732,0.1231280487804878,,,0.8914039134979248,0.17694817073170732,,,0.8914039134979248,0.1231280487804878
,,0.1947591463414634,0.12622560975609756,,,0.1947591463414634,0.12622560975609756,,,0.9911386966705322,0.1947591463414634,,,0.9911386966705322,0.12622560975609756,0.9911386966705322,0.0,1.0902678966522217,0.14255432184386665,,,0.1947591463414634,0.12622560975609756,,,0.9911386966705322,0.1947591463414634,,,0.9911386966705322,0.12622560975609756
,,0.20869817073170732,0.12854878048780488,,,0.20869817073170732,0.12854878048780488,,,1.0902678966522217,0.20869817073170732,,,1.0902678966522217,0.12854878048780488,1.0902678966522217,0.0,1.1936707496643066,0.11019358224161531,,,0.20869817073170732,0.12854878048780488,,,1.0902678966522217,0.20869817073170732,,,1.0902678966522217,0.12854878048780488
