Actual Position: x (m),Actual Position: y (m),Actual X-Pos vs. Time: time(s),Actual X-Pos vs. Time: x (m),Actual Y-Pos vs. Time: time(s),Actual Y-Pos vs. Time: y (m),Theta vs. Time: time(s),Theta vs. Time: theta (rads),Robot Velocity: time (s),Robot Velocity: velocity (m/s)
0.09176524390243904,0.14752134146341464,0.14531898498535156,0.09176524390243904,0.14531898498535156,0.14752134146341464,0.14531898498535156,0.1297025371559117,0.27561497688293457,0.002971657963627571
0.09215243902439024,0.14752134146341464,0.27561497688293457,0.09215243902439024,0.27561497688293457,0.14752134146341464,0.27561497688293457,0.12786991855999946,0.3738739490509033,0.01182167226284409
0.09215243902439024,0.146359756097561,0.3738739490509033,0.09215243902439024,0.3738739490509033,0.146359756097561,0.3738739490509033,0.08550529367820471,0.4734079837799072,0.05925189719288106
0.09757317073170732,0.14403658536585368,0.4734079837799072,0.09757317073170732,0.4734079837799072,0.14403658536585368,0.4734079837799072,-0.057080782406264664,0.5732531547546387,0.0892772382374516
0.10492987804878048,0.1390030487804878,0.5732531547546387,0.10492987804878048,0.5732531547546387,0.1390030487804878,0.5732531547546387,-0.21406068356382166,0.7071208953857422,0.09077621258257289
0.11615853658536587,0.13435670731707317,0.7071208953857422,0.11615853658536587,0.7071208953857422,0.13435670731707317,0.7071208953857422,-0.3261558122434533,0.8021929264068604,0.1728838791891273
0.13203353658536587,0.13009756097560976,0.8021929264068604,0.13203353658536587,0.8021929264068604,0.13009756097560976,0.8021929264068604,-0.33473683731681475,0.9017331600189209,0.17013305738922796
0.1486829268292683,0.127,0.9017331600189209,0.1486829268292683,0.9017331600189209,0.127,0.9017331600189209,-0.27829965900511133,1.0009222030639648,0.19227002165130866
0.16765548780487805,0.12506402439024392,1.0009222030639648,0.16765548780487805,1.0009222030639648,0.12506402439024392,1.0009222030639648,-0.21406068356382146,1.099743127822876,0.19262794379104883
0.18662804878048783,0.12351524390243904,1.099743127822876,0.18662804878048783,1.099743127822876,0.12351524390243904,1.099743127822876,-0.12435499454676126,1.1991140842437744,0.18317514511568717
0.20482621951219515,0.12390243902439024,1.1991140842437744,0.20482621951219515,1.1991140842437744,0.12390243902439024,1.1991140842437744,-0.08430673252620646,1.2969660758972168,0.16661518337923187
0.22108841463414636,0.1250640243902439,1.2969660758972168,0.22108841463414636,1.2969660758972168,0.1250640243902439,1.2969660758972168,-0.04107277859045411,1.3969900608062744,0.15488929055520978
0.23657621951219515,0.12545121951219512,1.3969900608062744,0.23657621951219515,1.3969900608062744,0.12545121951219512,1.3969900608062744,-0.02739040847486256,1.4954330921173096,0.14600559812656147
0.25090243902439024,0.12661280487804877,1.4954330921173096,0.25090243902439024,1.4954330921173096,0.12661280487804877,1.4954330921173096,-0.013887995930967081,1.5942070484161377,0.1413380528750997
0.26484146341463416,0.12738719512195124,1.5942070484161377,0.26484146341463416,1.5942070484161377,0.12738719512195124,1.5942070484161377,-0.013887995930967081,1.6947720050811768,0.13481196580182706
0.27839329268292684,0.12777439024390244,1.6947720050811768,0.27839329268292684,1.6947720050811768,0.12777439024390244,1.6947720050811768,0.0,1.79392409324646,0.12910352291333707
0.2911707317073171,0.12854878048780488,1.79392409324646,0.2911707317073171,1.79392409324646,0.12854878048780488,1.79392409324646,0.0,1.8934369087219238,0.12845887446660134
0.3039481707317073,0.12893597560975611,1.8934369087219238,0.3039481707317073,1.8934369087219238,0.12893597560975611,1.8934369087219238,0.01369777337286581,1.9921002388000488,0.12171991589787275
0.3159512195121952,0.12932317073170732,1.9921002388000488,0.3159512195121952,1.9921002388000488,0.12932317073170732,1.9921002388000488,0.0,2.0914711952209473,0.11695877284069296
0.32756707317073175,0.12971036585365853,2.0914711952209473,0.32756707317073175,2.0914711952209473,0.12971036585365853,2.0914711952209473,-0.013512691013328216,2.1898250579833984,0.12210290376005593
0.3395701219512195,0.13009756097560976,2.1898250579833984,0.3395701219512195,2.1898250579833984,0.13009756097560976,2.1898250579833984,-0.02739040847486255,2.289238214492798,0.12469468614786475
0.35196036585365853,0.12971036585365853,2.289238214492798,0.35196036585365853,2.289238214492798,0.12971036585365853,2.289238214492798,-0.04107277859045409,2.38818621635437,0.12913286558596543
0.3647378048780488,0.12971036585365853,2.38818621635437,0.3647378048780488,2.38818621635437,0.12971036585365853,2.38818621635437,-0.06746502452190481,2.4871411323547363,0.13694953031178894
0.3782896341463415,0.12971036585365853,2.4871411323547363,0.3782896341463415,2.4871411323547363,0.12971036585365853,2.4871411323547363,-0.06838634359050356,2.5858540534973145,0.13342049661716188
0.3914542682926829,0.12932317073170732,2.5858540534973145,0.3914542682926829,2.5858540534973145,0.12932317073170732,2.5858540534973145,-0.07982998571223743,2.683617115020752,0.14654020945079152
0.4057804878048781,0.12932317073170732,2.683617115020752,0.4057804878048781,2.683617115020752,0.12932317073170732,2.683617115020752,-0.05400150037596834,2.783092975616455,0.15200122711292108
0.42088109756097564,0.12854878048780488,2.783092975616455,0.42088109756097564,2.783092975616455,0.12854878048780488,2.783092975616455,-0.05473978004988079,2.9163661003112793,0.10463025531392588
0.43482012195121955,0.12893597560975611,2.9163661003112793,0.43482012195121955,2.9163661003112793,0.12893597560975611,2.9163661003112793,-0.0665681637758239,3.013850212097168,0.1429876534225304
0.4487591463414634,0.12893597560975611,3.013850212097168,0.4487591463414634,3.013850212097168,0.12893597560975611,3.013850212097168,-0.0683863435905035,,
