Robot,Fish,Desired,Distances
"0.15170788764953613,0.08905487804878048,0.19630792682926831,-1.3043222034748483",,"0.15170788764953613,0.05758539438247681,0.08,0.0",
"0.5279779434204102,0.08634451219512196,0.1943719512195122,-1.283737256226142","0.5279779434204102,-0.09950734658599827,0.2162553191489362,0","0.5279779434204102,0.07639889717102051,0.08,0.0",0.187135766769295
"0.8935258388519287,0.10067073170731708,0.19088719512195124,-1.2528480354436053",,"0.8935258388519287,0.09369787247975668,0.08,0.0",
"1.1807878017425537,0.15216768292682928,0.0336859756097561,-0.3217505543966421",,"1.1807878017425537,0.10803939008712769,0.08,0.0",
"1.5118958950042725,0.12235365853658536,0.178109756097561,-1.1569160185441572",,"1.5118958950042725,0.12459479475021364,0.08,0.0",
"1.8098328113555908,0.1347439024390244,0.18120731707317073,-1.0939668071559656",,"1.8098328113555908,0.13949164056777955,0.08,0.0",
"2.108043909072876,0.14055182926829268,0.18972560975609756,-1.0470852603697032",,"2.108043909072876,0.15440219545364378,0.08,0.0",
"2.401700973510742,0.22379878048780488,0.028265243902439025,0.016665123713940758",,"2.401700973510742,0.16907937876383466,0.08,0.0",
"2.6989548206329346,0.24664329268292684,0.02478048780487805,-0.16789592325037453","2.6989548206329346,-0.0666637856525497,0.1856170212765958,0","2.6989548206329346,0.18295122496287028,0.08,0.0",0.3521785283550254
"2.9963698387145996,0.17152743902439027,0.1905,-0.9178578261491351",,"2.9963698387145996,0.19781849193572998,0.08,0.0",
"3.293393850326538,0.16146036585365856,0.20947256097560976,-0.8729480804154707",,"3.293393850326538,0.21266969251632692,0.08,0.0",
"3.5914549827575684,0.15332926829268295,0.21953963414634148,-0.8745373705051622",,"3.5914549827575684,0.22757274913787842,0.08,0.0",
"3.8890528678894043,0.26367987804878046,0.09641158536585367,1.3539227111284886",,"3.8890528678894043,0.2424526433944702,0.08,0.0",
"4.2179248332977295,0.27297256097560973,0.13048475609756097,1.2490457723982535",,"4.2179248332977295,0.25789624166488645,0.08,0.0",
"4.551407814025879,0.273359756097561,0.13939024390243904,1.3339475658479762",,"4.551407814025879,0.27457039070129396,0.08,0.0",
"4.841981887817383,0.17385060975609756,0.25477439024390247,-0.6771671404553035",,"4.841981887817383,0.2890990943908691,0.08,0.0",
"5.109128952026367,0.3020121951219512,0.13358231707317075,0.04995839572194282",,"5.109128952026367,0.30245644760131835,0.08,0.0",
"5.407184839248657,0.3202103658536586,0.11267378048780488,-0.6202494859828214","5.407184839248657,-0.09950734658599827,0.2162553191489362,0","5.407184839248657,0.31733529249827064,0.08,0.0",0.4323101817988861
"5.703459024429321,0.19940548780487805,0.20869817073170732,-0.7315419379532683",,"5.703459024429321,0.33117295122146606,0.08,0.0",
"6.033609867095947,0.193984756097561,0.20289024390243904,-0.805859154776348","6.033609867095947,-0.08394987035436474,0.2162553191489362,0","6.033609867095947,0.34768049335479734,0.08,0.0",0.2782557848766419
"6.330098867416382,0.18585365853658536,0.18778963414634148,-0.8447734687658458","6.330098867416382,-0.08394987035436474,0.2162553191489362,0","6.330098867416382,0.36250494337081907,0.08,0.0",0.2713010125758411
"6.694660663604736,0.18507926829268292,0.18546646341463416,-0.830998863125875",,"6.694660663604736,0.3807330331802368,0.08,0.0",
"6.988740682601929,0.18933841463414636,0.18546646341463416,2.278025115304461",,"6.988740682601929,0.39543703413009645,0.08,0.0",
"7.2539660930633545,0.18933841463414636,0.18469207317073172,2.280423599589233",,"7.2539660930633545,0.4085184176762899,0.08,0.0",
"7.551549911499023,0.18856402439024392,0.18391768292682928,-0.858375385443542","7.551549911499023,-0.08394987035436474,0.2162553191489362,0","7.551549911499023,0.42257749557495117,0.08,0.0",0.2744258470795143
"7.848243951797485,0.19050000000000003,0.18662804878048783,2.2678831191059494","7.848243951797485,-0.04592048401037165,0.2060425531914894,0","7.848243951797485,0.4374121975898743,0.08,0.0",0.237216289999703
"8.144861936569214,0.1897256097560976,0.18546646341463416,-0.8649683683704783","8.144861936569214,-0.08481417458945549,0.2162553191489362,0","8.144861936569214,0.45,0.08,0.0",0.2762608311468176
