desired path: x position,desired path: y position,robot position: x position,robot position: y position,Position: x (m)1,Position: y (m)1,Position: x (m)2,Position: y (m)2,X-Pos vs. Time: time(s)1,X-Pos vs. Time: x (m)1,X-Pos vs. Time: time(s)2,X-Pos vs. Time: x (m)2,Y-Pos vs. Time: time(s)1,Y-Pos vs. Time: y (m)1,Y-Pos vs. Time: time(s)2,Y-Pos vs. Time: y (m)2
0.13108799743652344,0.096,0.05420731707317074,0.09641158536585366,0.13108799743652344,0.096,0.05420731707317074,0.09641158536585366,0.06175994873046875,0.13108799743652344,0.06175994873046875,0.05420731707317074,0.06175994873046875,0.096,0.06175994873046875,0.09641158536585366
0.14840079832077027,0.096,0.05420731707317074,0.09602439024390244,0.14840079832077027,0.096,0.05420731707317074,0.09602439024390244,0.4080159664154053,0.14840079832077027,0.4080159664154053,0.05420731707317074,0.4080159664154053,0.096,0.4080159664154053,0.09602439024390244
0.16242355394363403,0.096,0.06001524390243903,0.10338109756097562,0.16242355394363403,0.096,0.06001524390243903,0.10338109756097562,0.6884710788726807,0.16242355394363403,0.6884710788726807,0.06001524390243903,0.6884710788726807,0.096,0.6884710788726807,0.10338109756097562
0.17301969814300536,0.096,0.07356707317073172,0.12390243902439024,0.17301969814300536,0.096,0.07356707317073172,0.12390243902439024,0.9003939628601074,0.17301969814300536,0.9003939628601074,0.07356707317073172,0.9003939628601074,0.096,0.9003939628601074,0.12390243902439024
0.18682219076156617,0.096,0.06272560975609756,0.15603963414634148,0.18682219076156617,0.096,0.06272560975609756,0.15603963414634148,1.1764438152313232,0.18682219076156617,1.1764438152313232,0.06272560975609756,1.1764438152313232,0.096,1.1764438152313232,0.15603963414634148
0.19946844863891602,0.096,0.0375579268292683,0.16688109756097563,0.19946844863891602,0.096,0.0375579268292683,0.16688109756097563,1.4293689727783203,0.19946844863891602,1.4293689727783203,0.0375579268292683,1.4293689727783203,0.096,1.4293689727783203,0.16688109756097563
0.20920129108428956,0.096,0.03136280487804878,0.16726829268292684,0.20920129108428956,0.096,0.03136280487804878,0.16726829268292684,1.624025821685791,0.20920129108428956,1.624025821685791,0.03136280487804878,1.624025821685791,0.096,1.624025821685791,0.16726829268292684
0.22220275688171387,0.096,0.03175,0.16765548780487805,0.22220275688171387,0.096,0.03175,0.16765548780487805,1.8840551376342773,0.22220275688171387,1.8840551376342773,0.03175,1.8840551376342773,0.096,1.8840551376342773,0.16765548780487805
0.23199747848510743,0.096,0.03136280487804878,0.16881707317073172,0.23199747848510743,0.096,0.03136280487804878,0.16881707317073172,2.0832808017730713,0.23199747848510743,2.0832808017730713,0.03136280487804878,2.0832808017730713,0.096,2.0832808017730713,0.16881707317073172
0.24143808746337891,0.096,0.02555487804878049,0.17888414634146343,0.24143808746337891,0.096,0.02555487804878049,0.17888414634146343,2.2799601554870605,0.24143808746337891,2.2799601554870605,0.02555487804878049,2.2799601554870605,0.096,2.2799601554870605,0.17888414634146343
0.25095753479003907,0.096,0.02555487804878049,0.1897256097560976,0.25095753479003907,0.096,0.02555487804878049,0.1897256097560976,2.4782819747924805,0.25095753479003907,2.4782819747924805,0.02555487804878049,2.4782819747924805,0.096,2.4782819747924805,0.1897256097560976
0.26414835643768314,0.096,0.02478048780487805,0.20056707317073172,0.26414835643768314,0.096,0.02478048780487805,0.20056707317073172,2.742967128753662,0.26414835643768314,2.742967128753662,0.02478048780487805,2.742967128753662,0.096,2.742967128753662,0.20056707317073172
0.2773416895866394,0.096,0.0178109756097561,0.23502743902439027,0.2773416895866394,0.096,0.0178109756097561,0.23502743902439027,3.006833791732788,0.2773416895866394,3.006833791732788,0.0178109756097561,3.006833791732788,0.096,3.006833791732788,0.23502743902439027
0.29054740858078004,0.096,0.0336859756097561,0.27723170731707314,0.29054740858078004,0.096,0.0336859756097561,0.27723170731707314,3.2709481716156006,0.29054740858078004,3.2709481716156006,0.0336859756097561,3.2709481716156006,0.096,3.2709481716156006,0.27723170731707314
0.30038010072708127,0.096,0.06969512195121952,0.29659146341463416,0.30038010072708127,0.096,0.06969512195121952,0.29659146341463416,3.467602014541626,0.30038010072708127,3.467602014541626,0.06969512195121952,3.467602014541626,0.096,3.467602014541626,0.29659146341463416
0.31030819606781007,0.096,0.12235365853658538,0.31207926829268295,0.31030819606781007,0.096,0.12235365853658538,0.31207926829268295,3.666163921356201,0.31030819606781007,3.666163921356201,0.12235365853658538,3.666163921356201,0.096,3.666163921356201,0.31207926829268295
0.3235688467025757,0.096,0.1688170731707317,0.3136280487804878,0.3235688467025757,0.096,0.1688170731707317,0.3136280487804878,3.9313769340515137,0.3235688467025757,3.9313769340515137,0.1688170731707317,3.9313769340515137,0.096,3.9313769340515137,0.3136280487804878
0.33313330078125003,0.096,0.19708231707317075,0.31362804878048783,0.33313330078125003,0.096,0.19708231707317075,0.31362804878048783,4.127777099609375,0.33313330078125003,4.127777099609375,0.19708231707317075,4.127777099609375,0.096,4.127777099609375,0.31362804878048783
0.34266412353515624,0.096,0.21760365853658536,0.3093689024390244,0.34266412353515624,0.096,0.21760365853658536,0.3093689024390244,4.326335906982422,0.34266412353515624,4.326335906982422,0.21760365853658536,4.326335906982422,0.096,4.326335906982422,0.3093689024390244
0.3522434959411621,0.096,0.23502743902439027,0.30588414634146344,0.3522434959411621,0.096,0.23502743902439027,0.30588414634146344,4.524869918823242,0.3522434959411621,4.524869918823242,0.23502743902439027,4.524869918823242,0.096,4.524869918823242,0.30588414634146344
