Desired Position,Actual Position,Theta vs. Time,Robot Velocity
0.15,0.16339634146341464,3.009041121293119,0.0046891150780321795
0.15,0.16339634146341464,3.0111893457006595,0.0
0.15,0.16339634146341464,3.0111893457006595,0.006014131786783212
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.008196771878505793
0.15,0.1630091463414634,2.995108475196232,0.008459092005988093
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.005833279031556716
0.15,0.16378353658536587,2.992702705980296,0.00579903534303121
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.005698814799878401
0.15,0.16378353658536587,2.992702705980296,0.005829070618653394
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.0058415460135769716
0.15,0.1630091463414634,2.992702705980296,0.0059264745765218296
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.00595110189261193
0.15,0.1630091463414634,2.992702705980296,0.005804154540641409
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.005829761135431458
0.15,0.1630091463414634,2.992702705980296,0.005881125692694095
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.0058687353374328515
0.15,0.16339634146341464,3.0111893457006595,0.005878443416057101
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.0
0.15,0.16339634146341464,3.009041121293119,0.005930478337072281
0.15,0.1630091463414634,2.992702705980296,0.9666774644293099
0.15,0.20327743902439027,-2.6736987856091385,0.017613143753900416
0.15,0.20327743902439027,-2.6800414775763857,0.9784865908757762
0.15,0.16378353658536587,2.990217209855767,0.04884493703325246
0.15,0.1630091463414634,3.0193974828984382,0.9501618538045153
