x (m)_ind,y (m)_dep,time(s)_ind,theta_dep,time (s)_ind,velocity (m/s)_dep
0.34615243902439025,0.193984756097561,0.14763593673706055,-2.615200289363373,0.24659991264343262,0.0385335134600341
0.34266768292682925,0.19553353658536587,0.24659991264343262,-2.6298538112744354,0.307405948638916,0.006367708659383653
0.34266768292682925,0.19514634146341464,0.307405948638916,-2.5991610835998435,0.37305283546447754,0.4666625055714019
0.31401524390243907,0.18430487804878048,0.37305283546447754,-1.6421037915801846,0.4421498775482178,0.49616765820570347
0.3465396341463415,0.19514634146341464,0.4421498775482178,-2.6632402222111353,0.5065689086914062,0.008500230180907014
0.3469268292682927,0.19475914634146343,0.5065689086914062,-2.618314331457818,0.5728657245635986,0.04088229303325206
0.3442164634146342,0.19475914634146343,0.5728657245635986,-2.584297118472288,0.6428978443145752,0.023456805021548573
0.3430548780487805,0.1959207317073171,0.6428978443145752,-2.601173153319209,0.7047379016876221,0.056002186933068375
0.3461524390243903,0.19437195121951223,0.7047379016876221,-2.6344941491974563,0.770831823348999,0.02929128066684885
0.3442164634146342,0.19437195121951223,0.770831823348999,-2.642245931909663,0.8370850086212158,0.5020549985537807
0.31401524390243907,0.18043292682926831,0.8370850086212158,-0.380506377112362,0.9036071300506592,0.5198892082774678
0.3461524390243903,0.19321036585365856,0.9036071300506592,-2.667995124196182,0.9698359966278076,0.5428269199032452
0.3128536585365854,0.17965853658536585,0.9698359966278076,-0.5404195002705815,1.0363898277282715,0.49696864645625854
0.3422804878048781,0.19475914634146343,1.0363898277282715,-2.615200289363373,1.102158784866333,0.018616966689957194
0.34266768292682925,0.19359756097560976,1.102158784866333,-2.5991610835998435,1.1669418811798096,0.46878784155679964
0.31401524390243907,0.18353048780487807,1.1669418811798096,-1.3854483767991992,1.23276686668396,0.4819808392476569
0.34305487804878054,0.19630792682926831,1.23276686668396,-2.603218140243563,1.2994067668914795,0.4402398102643645
0.3159512195121952,0.18507926829268295,1.2994067668914795,-1.1659045405098123,1.3654179573059082,0.4291517958682441
0.3422804878048781,0.19553353658536587,1.3654179573059082,-2.603218140243563,1.4364140033721924,0.010907512274407739
