Desired Position_x (m),Desired Position_y (m),Actual Position_x (m),Actual Position_y (m),Theta vs. Time_time(s),Theta vs. Time_theta,Robot Velocity_time (s),Robot Velocity_velocity (m/s)
0.05,0.15,0.5711128048780488,0.12777439024390244,0.17027831077575684,-2.9675474137470546,0.25451016426086426,0.010278707845273238
0.051000000000000004,0.15,0.5703384146341464,0.12816158536585368,0.25451016426086426,-2.9746224845648643,0.31821608543395996,0.006077851396248212
0.052000000000000005,0.15,0.5707256097560975,0.12816158536585368,0.31821608543395996,-2.9764439761751667,0.38233518600463867,0.00603868610921058
0.053000000000000005,0.15,0.5707256097560975,0.12777439024390244,0.38233518600463867,-2.9656530281372655,0.4503040313720703,0.005696655870173425
0.054000000000000006,0.15,0.5711128048780488,0.12777439024390244,0.4503040313720703,-2.9675474137470546,0.5169401168823242,0.0
0.055,0.15,0.5711128048780488,0.12777439024390244,0.5169401168823242,-2.9675474137470546,0.581618070602417,0.0
0.056,0.15,0.5711128048780488,0.12777439024390244,0.581618070602417,-2.963717390583717,0.6506061553955078,0.005612492695116345
0.057,0.15,0.5707256097560975,0.12777439024390244,0.6506061553955078,-2.9656530281372655,0.7137651443481445,0.0
0.058,0.15,0.5707256097560975,0.12777439024390244,0.7137651443481445,-2.9656530281372655,0.7805750370025635,0.0
0.059000000000000004,0.15,0.5707256097560975,0.12777439024390244,0.7805750370025635,-2.9656530281372655,0.8467831611633301,0.005848151217984999
0.060000000000000005,0.15,0.5711128048780488,0.12777439024390244,0.8467831611633301,-2.9675474137470546,0.9133551120758057,0.0
0.061000000000000006,0.15,0.5711128048780488,0.12777439024390244,0.9133551120758057,-2.9675474137470546,0.9801890850067139,0.005793387778271229
0.062000000000000006,0.15,0.5711128048780488,0.12816158536585368,0.9801890850067139,-2.9782265054815173,1.0461111068725586,0.008306428978506298
0.063,0.15,0.5707256097560975,0.12777439024390244,1.0461111068725586,-2.9656530281372655,1.112231969833374,0.005855869155559773
0.064,0.15,0.5707256097560975,0.12816158536585368,1.112231969833374,-2.954903322775544,1.1777091026306152,0.005913440393767565
0.065,0.15,0.5711128048780488,0.12816158536585368,1.1777091026306152,-2.9782265054815173,1.243664264678955,0.005870581011801719
0.066,0.15,0.5707256097560975,0.12816158536585368,1.243664264678955,-2.9764439761751667,1.3101131916046143,0.008240563363209592
0.067,0.15,0.5711128048780488,0.12777439024390244,1.3101131916046143,-2.963717390583717,1.3756990432739258,0.00590363793556504
0.068,0.15,0.5707256097560975,0.12777439024390244,1.3756990432739258,-2.9656530281372655,1.4421870708465576,0.0
0.069,0.15,0.5707256097560975,0.12777439024390244,1.4421870708465576,-2.9656530281372655,1.5084161758422852,0.0
0.07,0.15,0.5707256097560975,0.12777439024390244,1.5084161758422852,-2.9656530281372655,1.57460618019104,0.005849752175738796
0.07100000000000001,0.15,0.5711128048780488,0.12777439024390244,1.57460618019104,-2.963717390583717,1.639362096786499,0.0059793010786960326
0.07200000000000001,0.15,0.5715,0.12777439024390244,1.639362096786499,-2.969401839066854,1.704949140548706,0.013200695801724381
0.07300000000000001,0.15,0.5707256097560975,0.12816158536585368,1.704949140548706,-2.954903322775544,1.771423101425171,0.008237459984756954
0.07400000000000001,0.15,0.5711128048780488,0.12777439024390244,1.771423101425171,-2.9675474137470546,1.8375000953674316,0.005859756911605683
0.07500000000000001,0.15,0.5707256097560975,0.12777439024390244,1.8375000953674316,-2.9656530281372655,1.903982162475586,0.0
0.07600000000000001,0.15,0.5707256097560975,0.12777439024390244,1.903982162475586,-2.9656530281372655,1.9696440696716309,0.0
0.077,0.15,0.5707256097560975,0.12777439024390244,1.9696440696716309,-2.9656530281372655,2.0365099906921387,0.0
0.07800000000000001,0.15,0.5707256097560975,0.12777439024390244,2.0365099906921387,-2.9656530281372655,2.1029109954833984,0.0
