Desired Position_x (m)_ind,Desired Position_y (m)_dep,Actual Position_x (m)_ind,Actual Position_y (m)_dep,Theta vs. Time_time(s)_ind,Theta vs. Time_theta_dep,Robot Velocity_time (s)_ind,Robot Velocity_velocity (m/s)_dep
0.05,0.15,0.15720121951219512,0.22108841463414636,0.14848113059997559,-0.2760210171155143,0.2352430820465088,2.2146337398233755
0.051000000000000004,0.15,0.34731402439024395,0.19321036585365856,0.2352430820465088,-2.605446631577559,0.3008100986480713,0.013204727896962675
0.052000000000000005,0.15,0.3465396341463415,0.19359756097560976,0.3008100986480713,-2.6162257797744766,0.36312222480773926,0.05728841014554762
0.053000000000000005,0.15,0.34305487804878054,0.19282317073170735,0.36312222480773926,-2.6581456520225943,0.4321441650390625,0.04083952185277677
0.054000000000000006,0.15,0.345765243902439,0.19359756097560976,0.4321441650390625,-2.6195010397615057,0.4988210201263428,0.05836002330375128
0.055,0.15,0.34963719512195124,0.193984756097561,0.4988210201263428,-2.641312225364941,0.603255033493042,0.04464490572675187
0.056,0.15,0.3449908536585366,0.19359756097560976,0.603255033493042,-2.651635327336065,0.66274094581604,0.00920514742675333
0.057,0.15,0.34460365853658537,0.19321036585365856,0.66274094581604,-2.615200289363373,0.7332642078399658,0.4698955146897024
0.058,0.15,0.3159512195121952,0.17656097560975612,0.7332642078399658,-2.8632929945846817,0.7953510284423828,0.11849064335542368
0.059000000000000004,0.15,0.3159512195121952,0.18391768292682928,0.7953510284423828,-1.0390722595360902,0.8653812408447266,0.01748414637439498
0.060000000000000005,0.15,0.3147896341463415,0.18430487804878048,0.8653812408447266,-1.2998494764564736,0.9271869659423828,0.5094486699195196
0.061000000000000006,0.15,0.3449908536585366,0.19321036585365856,0.9271869659423828,-2.621011820098134,0.993462085723877,0.0
0.062000000000000006,0.15,0.3449908536585366,0.19321036585365856,0.993462085723877,-2.641312225364941,1.0595040321350098,0.016582690926135506
0.063,0.15,0.345765243902439,0.193984756097561,1.0595040321350098,-2.6298538112744354,1.126250982284546,0.012971298483294773
0.064,0.15,0.34537804878048783,0.19321036585365856,1.126250982284546,-2.635642254318717,1.1922030448913574,0.008302645453449801
0.065,0.15,0.345765243902439,0.19282317073170735,1.1922030448913574,-2.640328388718211,1.2567040920257568,0.013422954381425474
0.066,0.15,0.3449908536585366,0.19321036585365856,1.2567040920257568,-2.641312225364941,1.3240749835968018,0.01817429539256342
0.067,0.15,0.34537804878048783,0.19204878048780488,1.3240749835968018,-2.667192770797886,1.390214204788208,0.4714029583509898
0.068,0.15,0.3151768292682927,0.18430487804878048,1.390214204788208,-1.3521273809209542,1.455930233001709,0.4864690521619709
0.069,0.15,0.345765243902439,0.19359756097560976,1.455930233001709,-2.640328388718211,1.5215458869934082,0.06355524687720487
0.07,0.15,0.34189329268292684,0.19204878048780488,1.5215458869934082,-2.6541400184039174,1.5875780582427979,0.09102963905288798
0.07100000000000001,0.15,0.3477012195121951,0.19359756097560976,1.5875780582427979,0.5317240672588056,1.6542472839355469,0.012986420709748758
0.07200000000000001,0.15,0.3469268292682927,0.193984756097561,1.6542472839355469,-2.6332820285789658,1.719330072402954,0.5231300260940164
0.07300000000000001,0.15,0.31440243902439025,0.18391768292682928,1.719330072402954,-1.2315037123408512,1.7859160900115967,0.504060227749619
0.07400000000000001,0.15,0.3465396341463415,0.19359756097560976,1.7859160900115967,-2.6162257797744766,1.8518970012664795,0.042721796089011756
0.07500000000000001,0.15,0.3438292682926829,0.19282317073170735,1.8518970012664795,-2.636731281930667,1.918553113937378,0.4468283082631821
0.07600000000000001,0.15,0.3151768292682927,0.18469207317073172,1.918553113937378,-1.3397056595989991,1.984104871749878,0.008353347202592988
0.077,0.15,0.3155640243902439,0.18430487804878048,1.984104871749878,-1.1999050379822318,2.050525188446045,0.11137183298944976
0.07800000000000001,0.15,0.31633841463414636,0.17694817073170732,2.050525188446045,0.2662520491509262,2.117004156112671,0.5136645328053314
0.079,0.15,0.3461524390243903,0.19359756097560976,2.117004156112671,-2.6344941491974563,2.1837661266326904,0.005799635914507646
0.08,0.15,0.34615243902439025,0.19321036585365856,2.1837661266326904,0.5083106250108272,2.2485170364379883,0.013371157499448436
0.081,0.15,0.34537804878048783,0.19359756097560976,2.2485170364379883,-2.6253619829780455,2.3154449462890625,0.018294587220743046
0.082,0.15,0.3465396341463415,0.193984756097561,2.3154449462890625,-2.639290275491841,2.38034725189209,0.011931629188013293
0.08300000000000002,0.15,0.3465396341463415,0.19321036585365856,2.38034725189209,0.5236846609962431,2.446453094482422,0.02986597560872724
0.084,0.15,0.34460365853658537,0.19282317073170735,2.446453094482422,-2.636731281930667,2.5122742652893066,0.005882531671871725
0.085,0.15,0.3442164634146342,0.19282317073170735,2.5122742652893066,-2.6516353273360647,2.5785000324249268,0.024106121447554675
0.08600000000000001,0.15,0.345765243902439,0.19321036585365856,2.5785000324249268,-2.6298538112744354,2.6447510719299316,0.04450934232141407
0.08700000000000001,0.15,0.3430548780487805,0.19204878048780488,2.6447510719299316,-2.647651284670212,2.746238946914673,0.02054540549340877
0.08800000000000001,0.15,0.3449908536585366,0.19282317073170735,2.746238946914673,-2.6422459319096627,2.810232162475586,0.013529475049040283
0.08900000000000001,0.15,0.3442164634146342,0.19243597560975612,2.810232162475586,-2.641312225364941,2.874894142150879,0.06106572957745589
0.09,0.15,0.34808841463414636,0.19321036585365856,2.874894142150879,0.5271459435864094,2.941119909286499,0.04821224289511107
0.091,0.15,0.3449908536585366,0.19243597560975612,2.941119909286499,-2.629853811274435,3.0075011253356934,0.008248968990600243
0.092,0.15,0.34460365853658537,0.19282317073170735,3.0075011253356934,-2.6253619829780455,3.0732250213623047,0.026346417835263772
0.093,0.15,0.3461524390243903,0.19359756097560976,3.0732250213623047,-2.6344941491974563,3.1365020275115967,0.5665658139893079
0.094,0.15,0.31440243902439025,0.17694817073170732,3.1365020275115967,-2.896613990462929,3.2043650150299072,0.5155234209576656
0.095,0.15,0.34537804878048783,0.19321036585365856,3.2043650150299072,-2.623943544213019,3.2697741985321045,0.01323659105468188
0.096,0.15,0.345765243902439,0.193984756097561,3.2697741985321045,-2.6298538112744354,3.3370211124420166,0.020760088227615568
0.097,0.15,0.34460365853658537,0.19321036585365856,3.3370211124420166,-2.6468669711055446,3.4025251865386963,0.4676799284845042
0.098,0.15,0.3151768292682927,0.18469207317073172,3.4025251865386963,-1.3397056595989991,3.469696044921875,0.467159893838368
0.099,0.15,0.34537804878048783,0.19321036585365856,3.469696044921875,-2.635642254318717,3.535475969314575,0.005886220233998118
0.1,0.15,0.345765243902439,0.19321036585365856,3.535475969314575,-2.6298538112744354,3.601438045501709,0.4717203159772404
0.101,0.15,0.3159512195121951,0.18430487804878048,3.601438045501709,-0.9827937232473282,3.667314291000366,0.47768042972722596
0.10200000000000001,0.15,0.345765243902439,0.19437195121951223,3.667314291000366,-2.628534744180754,3.734159231185913,0.5274935710382009
0.10300000000000001,0.15,0.3155640243902439,0.1761737804878049,3.734159231185913,-2.8753406044388687,3.79927921295166,0.5324793757260622
0.10400000000000001,0.15,0.345765243902439,0.19321036585365856,3.79927921295166,-2.6298538112744354,3.865690231323242,0.44287140899583044
0.10500000000000001,0.15,0.3175,0.18507926829268295,3.865690231323242,-1.2490457723982538,3.931300163269043,0.43531101133070915
0.10600000000000001,0.15,0.3449908536585366,0.19282317073170735,3.931300163269043,-2.6403283887182107,3.9985909461975098,0.005754058804202237
0.10700000000000001,0.15,0.3449908536585366,0.19321036585365856,3.9985909461975098,-2.629853811274435,4.063949108123779,0.5021964676966306
0.10800000000000001,0.15,0.3136280487804878,0.18353048780487807,4.063949108123779,-1.4601391056210007,4.130589962005615,0.4964216962144308
0.10900000000000001,0.15,0.34537804878048783,0.19282317073170735,4.130589962005615,-2.6253619829780455,4.196639060974121,0.04267769099685064
0.11000000000000001,0.15,0.34266768292682925,0.19204878048780488,4.196639060974121,0.4783524313786574,4.260246992111206,0.038498924973167876
0.11100000000000002,0.15,0.3449908536585366,0.19282317073170735,4.260246992111206,-2.651635327336065,4.32698917388916,0.011602710958397289
0.112,0.15,0.3449908536585366,0.19359756097560976,4.32698917388916,-2.651635327336065,4.393458127975464,0.008238080473436406
0.113,0.15,0.34537804878048783,0.19321036585365856,4.393458127975464,-2.6468669711055446,4.45966911315918,0.01307629860569125
0.114,0.15,0.34460365853658537,0.19282317073170735,4.45966911315918,-2.636731281930667,4.525614023208618,0.041517729900428464
0.115,0.15,0.34731402439024395,0.19321036585365856,4.525614023208618,-2.605446631577559,4.591496229171753,0.01175416385322294
0.11600000000000002,0.15,0.3465396341463415,0.19321036585365856,4.591496229171753,-2.6179079925935502,4.657383918762207,0.018583418114723617
0.117,0.15,0.3469268292682927,0.19437195121951223,4.657383918762207,-2.62244653934327,4.723850965499878,0.011650739455279177
