Desired Position: x (m),Desired Position: y (m),Actual Position: x (m),Actual Position: y (m),Actual X-Pos vs. Time: time(s),Actual X-Pos vs. Time: x (m),Actual Y-Pos vs. Time: time(s),Actual Y-Pos vs. Time: y (m),Theta vs. Time: time(s),Theta vs. Time: theta,Robot Velocity: time (s),Robot Velocity: velocity (m/s)
0.268,0.2,0.3744176829268293,0.19321036585365853,14.725301027297974,0.3744176829268293,14.725301027297974,0.19321036585365853,14.725301027297974,0.06965457372856826,14.790908813476562,0.08346213531082662
0.269,0.2,0.37983841463414636,0.19243597560975612,14.790908813476562,0.37983841463414636,14.790908813476562,0.19243597560975612,14.790908813476562,0.06965457372856826,14.857319831848145,0.09401051056282009
0.27,0.2,0.3860335365853659,0.19166158536585365,14.857319831848145,0.3860335365853659,14.857319831848145,0.19166158536585365,14.857319831848145,0.06965457372856826,14.923027992248535,0.08917195943436354
0.271,0.2,0.39184146341463416,0.19088719512195124,14.923027992248535,0.39184146341463416,14.923027992248535,0.19088719512195124,14.923027992248535,0.06807645825799948,14.989290952682495,0.08842534917482152
0.272,0.2,0.39764939024390245,0.19011280487804877,14.989290952682495,0.39764939024390245,14.989290952682495,0.19011280487804877,14.989290952682495,0.06965457372856826,15.05460500717163,0.09558943772427653
0.273,0.2,0.40384451219512196,0.18933841463414636,15.05460500717163,0.40384451219512196,15.05460500717163,0.18933841463414636,15.05460500717163,0.06965457372856826,15.12039303779602,0.08906369985725207
0.274,0.2,0.4096524390243903,0.1885640243902439,15.12039303779602,0.4096524390243903,15.12039303779602,0.1885640243902439,15.12039303779602,0.06807645825799959,15.186930894851685,0.09383130176383887
0.275,0.2,0.41584756097560976,0.18778963414634148,15.186930894851685,0.41584756097560976,15.186930894851685,0.18778963414634148,15.186930894851685,0.06807645825799948,15.253383874893188,0.07663699501339677
0.27599999999999997,0.2,0.42088109756097564,0.187015243902439,15.253383874893188,0.42088109756097564,15.253383874893188,0.187015243902439,15.253383874893188,0.11575921772081081,15.318835020065308,0.043067589252800305
0.277,0.2,0.42359146341463416,0.1862408536585366,15.318835020065308,0.42359146341463416,15.318835020065308,0.1862408536585366,15.318835020065308,0.11315098159048452,15.385286808013916,0.02402412989645113
0.27799999999999997,0.2,0.42514024390243904,0.18585365853658536,15.385286808013916,0.42514024390243904,15.385286808013916,0.18585365853658536,15.385286808013916,0.13552771398550073,15.45110297203064,0.01176595833974223
0.279,0.2,0.42591463414634145,0.18585365853658536,15.45110297203064,0.42591463414634145,15.45110297203064,0.18585365853658536,15.45110297203064,0.13552771398550095,15.549659013748169,0.008784794906036576
0.27999999999999997,0.2,0.4266890243902439,0.18546646341463413,15.549659013748169,0.4266890243902439,15.549659013748169,0.18546646341463413,15.549659013748169,0.20176234432028708,15.648684978485107,0.03604875398042548
0.281,0.2,0.42939939024390245,0.18314329268292684,15.648684978485107,0.42939939024390245,15.648684978485107,0.18314329268292684,15.648684978485107,0.45333869585456243,15.714123964309692,0.06289737764815272
0.282,0.2,0.43210975609756097,0.18004573170731708,15.714123964309692,0.43210975609756097,15.714123964309692,0.18004573170731708,15.714123964309692,0.7061990924279962,15.780142068862915,0.07868701645694189
0.28300000000000003,0.2,0.43675609756097566,0.17772256097560976,15.780142068862915,0.43675609756097566,15.780142068862915,0.17772256097560976,15.780142068862915,0.9697225722971482,15.846566200256348,0.08916859464988297
0.284,0.2,0.4425640243902439,0.1765609756097561,15.846566200256348,0.4425640243902439,15.846566200256348,0.1765609756097561,15.846566200256348,1.3146449442292922,15.912283182144165,0.08435856780724695
0.28500000000000003,0.2,0.447984756097561,0.17772256097560976,15.912283182144165,0.447984756097561,15.912283182144165,0.17772256097560976,15.912283182144165,1.640450900523464,15.978494882583618,0.09591163086689537
0.286,0.2,0.45185670731707317,0.1827560975609756,15.978494882583618,0.45185670731707317,15.978494882583618,0.1827560975609756,15.978494882583618,1.9295669970654699,16.044620990753174,0.10375803493459822
0.28700000000000003,0.2,0.4537926829268293,0.18933841463414636,16.044620990753174,0.4537926829268293,16.044620990753174,0.18933841463414636,16.044620990753174,2.1718700812926466,16.110216856002808,0.12521595469415098
0.288,0.2,0.45263109756097564,0.19746951219512196,16.110216856002808,0.45263109756097564,16.110216856002808,0.19746951219512196,16.110216856002808,2.406998194250566,16.17617893218994,0.12644292992297124
0.28900000000000003,0.2,0.4495335365853659,0.20521341463414636,16.17617893218994,0.4495335365853659,16.17617893218994,0.20521341463414636,16.17617893218994,2.5804292413014407,16.24360489845276,0.11627721644872586
