desired path: x position,desired path: y position,robot position: x position,robot position: y position,Desired Position: x (m),Desired Position: y (m),Actual Position: x (m),Actual Position: y (m),Desired X-Pos vs. Time: time(s),Desired X-Pos vs. Time: x (m),Actual X-Pos vs. Time: time(s),Actual X-Pos vs. Time: x (m),Desired Y-Pos vs. Time: time(s),Desired Y-Pos vs. Time: y (m),Actual Y-Pos vs. Time: time(s),Actual Y-Pos vs. Time: y (m),Theta vs. Time: time(s),Theta vs. Time: theta (rads),Robot Velocity: time (s),Robot Velocity: velocity (m/s),Position: x (m)1,Position: y (m)1,Position: x (m)2,Position: y (m)2,X-Pos vs. Time: time(s)1,X-Pos vs. Time: x (m)1,X-Pos vs. Time: time(s)2,X-Pos vs. Time: x (m)2,Y-Pos vs. Time: time(s)1,Y-Pos vs. Time: y (m)1,Y-Pos vs. Time: time(s)2,Y-Pos vs. Time: y (m)2,Theta vs. Time: time (s)1,Theta vs. Time: theta (rad)1,Theta vs. Time: time (s)2,Theta vs. Time: theta (rad)2
0.05,0.08,0.14093902439024392,0.06040243902439024,0.05,0.08,0.14093902439024392,0.06040243902439024,0.0,0.05,0.14693999290466309,0.14093902439024392,0.0,0.08,0.14693999290466309,0.06040243902439024,0.14693999290466309,-0.1106572211738956,0.27402710914611816,0.003046690596201483,0.05,0.08,0.14093902439024392,0.06040243902439024,0.0,0.05,0.14693999290466309,0.14093902439024392,0.0,0.08,0.14693999290466309,0.06040243902439024,0.0,0.0,0.14693999290466309,-0.1106572211738956
0.45,0.08,0.14132621951219512,0.06040243902439024,0.45,0.08,0.14132621951219512,0.06040243902439024,3.0,0.45,0.27402710914611816,0.14132621951219512,3.0,0.08,0.27402710914611816,0.06040243902439024,0.27402710914611816,-0.11220281499725436,0.365386962890625,0.009476751305452981,0.45,0.08,0.14132621951219512,0.06040243902439024,3.0,0.45,0.27402710914611816,0.14132621951219512,3.0,0.08,0.27402710914611816,0.06040243902439024,3.0,1.5707963267948966,0.27402710914611816,-0.11220281499725436
0.45,0.25,0.14210060975609756,0.06001524390243902,0.45,0.25,0.14210060975609756,0.06001524390243902,5.0,0.45,0.365386962890625,0.14210060975609756,5.0,0.25,0.365386962890625,0.06001524390243902,0.365386962890625,-0.1260880950645904,0.4659137725830078,0.057903150834737,0.45,0.25,0.14210060975609756,0.06001524390243902,5.0,0.45,0.365386962890625,0.14210060975609756,5.0,0.25,0.365386962890625,0.06001524390243902,5.0,3.141592653589793,0.365386962890625,-0.1260880950645904
0.05,0.25,0.14790853658536587,0.0596280487804878,0.05,0.25,0.14790853658536587,0.0596280487804878,8.0,0.05,0.4659137725830078,0.14790853658536587,8.0,0.25,0.4659137725830078,0.0596280487804878,0.4659137725830078,-0.1418970546041639,0.5645880699157715,0.0746586478438966,0.05,0.25,0.14790853658536587,0.0596280487804878,8.0,0.05,0.4659137725830078,0.14790853658536587,8.0,0.25,0.4659137725830078,0.0596280487804878,8.0,3.141592653589793,0.4659137725830078,-0.1418970546041639
,,0.155265243902439,0.05924085365853658,,,0.155265243902439,0.05924085365853658,,,0.5645880699157715,0.155265243902439,,,0.5645880699157715,0.05924085365853658,0.5645880699157715,-0.09827395325600914,0.6633720397949219,0.13918772779695923,,,0.155265243902439,0.05924085365853658,,,0.5645880699157715,0.155265243902439,,,0.5645880699157715,0.05924085365853658,,,0.5645880699157715,-0.09827395325600914
,,0.16881707317073172,0.0615640243902439,,,0.16881707317073172,0.0615640243902439,,,0.6633720397949219,0.16881707317073172,,,0.6633720397949219,0.0615640243902439,0.6633720397949219,-0.04164257909858834,0.7629659175872803,0.15787289126391257,,,0.16881707317073172,0.0615640243902439,,,0.6633720397949219,0.16881707317073172,,,0.6633720397949219,0.0615640243902439,,,0.6633720397949219,-0.04164257909858834
,,0.18430487804878048,0.06427439024390244,,,0.18430487804878048,0.06427439024390244,,,0.7629659175872803,0.18430487804878048,,,0.7629659175872803,0.06427439024390244,0.7629659175872803,0.02856365783876001,0.8658120632171631,0.16539428977356313,,,0.18430487804878048,0.06427439024390244,,,0.7629659175872803,0.18430487804878048,,,0.7629659175872803,0.06427439024390244,,,0.7629659175872803,0.02856365783876001
,,0.20095426829268292,0.06775914634146342,,,0.20095426829268292,0.06775914634146342,,,0.8658120632171631,0.20095426829268292,,,0.8658120632171631,0.06775914634146342,0.8658120632171631,0.09827395325600927,0.961482048034668,0.16789764607282398,,,0.20095426829268292,0.06775914634146342,,,0.8658120632171631,0.20095426829268292,,,0.8658120632171631,0.06775914634146342,,,0.8658120632171631,0.09827395325600927
,,0.21644207317073172,0.07201829268292684,,,0.21644207317073172,0.07201829268292684,,,0.961482048034668,0.21644207317073172,,,0.961482048034668,0.07201829268292684,0.961482048034668,0.11542666036692452,1.0606777667999268,0.1515785050049698,,,0.21644207317073172,0.07201829268292684,,,0.961482048034668,0.21644207317073172,,,0.961482048034668,0.07201829268292684,,,0.961482048034668,0.11542666036692452
,,0.23115548780487805,0.0751158536585366,,,0.23115548780487805,0.0751158536585366,,,1.0606777667999268,0.23115548780487805,,,1.0606777667999268,0.0751158536585366,1.0606777667999268,0.13992467057411764,1.1601710319519043,0.14063965164626477,,,0.23115548780487805,0.0751158536585366,,,1.0606777667999268,0.23115548780487805,,,1.0606777667999268,0.0751158536585366,,,1.0606777667999268,0.13992467057411764
,,0.24470731707317073,0.07860060975609756,,,0.24470731707317073,0.07860060975609756,,,1.1601710319519043,0.24470731707317073,,,1.1601710319519043,0.07860060975609756,1.1601710319519043,0.1243549945467615,1.2594287395477295,0.14306281908888768,,,0.24470731707317073,0.07860060975609756,,,1.1601710319519043,0.24470731707317073,,,1.1601710319519043,0.07860060975609756,,,1.1601710319519043,0.1243549945467615
,,0.25864634146341464,0.0813109756097561,,,0.25864634146341464,0.0813109756097561,,,1.2594287395477295,0.25864634146341464,,,1.2594287395477295,0.0813109756097561,1.2594287395477295,0.1106572211738957,1.3581287860870361,0.1354411546420498,,,0.25864634146341464,0.0813109756097561,,,1.2594287395477295,0.25864634146341464,,,1.2594287395477295,0.0813109756097561,,,1.2594287395477295,0.1106572211738957
,,0.2718109756097561,0.08363414634146342,,,0.2718109756097561,0.08363414634146342,,,1.3581287860870361,0.2718109756097561,,,1.3581287860870361,0.08363414634146342,1.3581287860870361,0.11065722117389576,1.4553790092468262,0.12444760772888752,,,0.2718109756097561,0.08363414634146342,,,1.3581287860870361,0.2718109756097561,,,1.3581287860870361,0.08363414634146342,,,1.3581287860870361,0.11065722117389576
,,0.28381402439024395,0.0851829268292683,,,0.28381402439024395,0.0851829268292683,,,1.4553790092468262,0.28381402439024395,,,1.4553790092468262,0.0851829268292683,1.4553790092468262,0.08200744552618565,1.5552818775177002,0.13453814749906887,,,0.28381402439024395,0.0851829268292683,,,1.4553790092468262,0.28381402439024395,,,1.4553790092468262,0.0851829268292683,,,1.4553790092468262,0.08200744552618565
