desired path: x position,desired path: y position,robot position: x position,robot position: y position,Desired Position: x (m),Desired Position: y (m),Actual Position: x (m),Actual Position: y (m),Desired X-Pos vs. Time: time(s),Desired X-Pos vs. Time: x (m),Actual X-Pos vs. Time: time(s),Actual X-Pos vs. Time: x (m),Desired Y-Pos vs. Time: time(s),Desired Y-Pos vs. Time: y (m),Actual Y-Pos vs. Time: time(s),Actual Y-Pos vs. Time: y (m),Theta vs. Time: time(s),Theta vs. Time: theta (rads),Robot Velocity: time (s),Robot Velocity: velocity (m/s),Position: x (m)1,Position: y (m)1,Position: x (m)2,Position: y (m)2,X-Pos vs. Time: time(s)1,X-Pos vs. Time: x (m)1,X-Pos vs. Time: time(s)2,X-Pos vs. Time: x (m)2,Y-Pos vs. Time: time(s)1,Y-Pos vs. Time: y (m)1,Y-Pos vs. Time: time(s)2,Y-Pos vs. Time: y (m)2,Theta vs. Time: time (s)1,Theta vs. Time: theta (rad)1,Theta vs. Time: time (s)2,Theta vs. Time: theta (rad)2
0.05,0.08,0.08673170731707318,0.04646341463414634,0.05,0.08,0.08673170731707318,0.04646341463414634,0.0,0.05,0.1543569564819336,0.08673170731707318,0.0,0.08,0.1543569564819336,0.04646341463414634,0.1543569564819336,-0.05549850524571676,0.26801609992980957,0.007617465581520078,0.05,0.08,0.08673170731707318,0.04646341463414634,0.0,0.05,0.1543569564819336,0.08673170731707318,0.0,0.08,0.1543569564819336,0.04646341463414634,0.0,0.0,0.1543569564819336,-0.05549850524571676
0.45,0.08,0.08634451219512196,0.04723780487804878,0.45,0.08,0.08634451219512196,0.04723780487804878,3.0,0.45,0.26801609992980957,0.08634451219512196,3.0,0.08,0.26801609992980957,0.04723780487804878,0.26801609992980957,-0.05627853628876201,0.3656501770019531,0.014298817663561138,0.45,0.08,0.08634451219512196,0.04723780487804878,3.0,0.45,0.26801609992980957,0.08634451219512196,3.0,0.08,0.26801609992980957,0.04723780487804878,3.0,1.5707963267948966,0.26801609992980957,-0.05627853628876201
0.45,0.25,0.0871189024390244,0.04607621951219512,0.45,0.25,0.0871189024390244,0.04607621951219512,5.0,0.45,0.3656501770019531,0.0871189024390244,5.0,0.25,0.3656501770019531,0.04607621951219512,0.3656501770019531,-0.0683863435905034,0.464738130569458,0.10665645739779754,0.45,0.25,0.0871189024390244,0.04607621951219512,5.0,0.45,0.3656501770019531,0.0871189024390244,5.0,0.25,0.3656501770019531,0.04607621951219512,5.0,3.141592653589793,0.3656501770019531,-0.0683863435905034
0.05,0.25,0.09757317073170732,0.04452743902439024,0.05,0.25,0.09757317073170732,0.04452743902439024,8.0,0.05,0.464738130569458,0.09757317073170732,8.0,0.25,0.464738130569458,0.04452743902439024,0.464738130569458,-0.12786991855999988,0.56272292137146,0.1344119516261135,0.05,0.25,0.09757317073170732,0.04452743902439024,8.0,0.05,0.464738130569458,0.09757317073170732,8.0,0.25,0.464738130569458,0.04452743902439024,8.0,3.141592653589793,0.464738130569458,-0.12786991855999988
,,0.1107378048780488,0.04414024390243902,,,0.1107378048780488,0.04414024390243902,,,0.56272292137146,0.1107378048780488,,,0.56272292137146,0.04414024390243902,0.56272292137146,-0.11379200714370803,0.661628007888794,0.23648205012387263,,,0.1107378048780488,0.04414024390243902,,,0.56272292137146,0.1107378048780488,,,0.56272292137146,0.04414024390243902,,,0.56272292137146,-0.11379200714370803
,,0.13396951219512196,0.04685060975609756,,,0.13396951219512196,0.04685060975609756,,,0.661628007888794,0.13396951219512196,,,0.661628007888794,0.04685060975609756,0.661628007888794,0.013887995930967088,0.7607660293579102,0.26996825703360544,,,0.13396951219512196,0.04685060975609756,,,0.661628007888794,0.13396951219512196,,,0.661628007888794,0.04685060975609756,,,0.661628007888794,0.013887995930967088
,,0.15991158536585365,0.0534329268292683,,,0.15991158536585365,0.0534329268292683,,,0.7607660293579102,0.15991158536585365,,,0.7607660293579102,0.0534329268292683,0.7607660293579102,0.13992467057411775,0.8612210750579834,0.2839998054280564,,,0.15991158536585365,0.0534329268292683,,,0.7607660293579102,0.15991158536585365,,,0.7607660293579102,0.0534329268292683,,,0.7607660293579102,0.13992467057411775
,,0.18701524390243904,0.06233841463414634,,,0.18701524390243904,0.06233841463414634,,,0.8612210750579834,0.18701524390243904,,,0.8612210750579834,0.06233841463414634,0.8612210750579834,0.2140606835638215,0.9592361450195312,0.2698419025480727,,,0.18701524390243904,0.06233841463414634,,,0.8612210750579834,0.18701524390243904,,,0.8612210750579834,0.06233841463414634,,,0.8612210750579834,0.2140606835638215
,,0.21218292682926831,0.07046951219512196,,,0.21218292682926831,0.07046951219512196,,,0.9592361450195312,0.21218292682926831,,,0.9592361450195312,0.07046951219512196,0.9592361450195312,0.22471116841464256,1.058547019958496,0.2416638830398631,,,0.21218292682926831,0.07046951219512196,,,0.9592361450195312,0.21218292682926831,,,0.9592361450195312,0.07046951219512196,,,0.9592361450195312,0.22471116841464256
,,0.23502743902439027,0.07782621951219512,,,0.23502743902439027,0.07782621951219512,,,1.058547019958496,0.23502743902439027,,,1.058547019958496,0.07782621951219512,1.058547019958496,0.24156570709532596,1.1577651500701904,0.2063882993579248,,,0.23502743902439027,0.07782621951219512,,,1.058547019958496,0.23502743902439027,,,1.058547019958496,0.07782621951219512,,,1.058547019958496,0.24156570709532596
